onset	duration	choice	agent	money_left	probability_left	money_right	probability_right
17.007595333	5	1	0	26.5	0.35	3.57	0.47
30.011850023	5	1	0	23.86	0.28	16.41	0.29
41.016409763	5	1	0	25.48	0.23	4.88	0.58
52.020576364	5	2	0	14.95	0.38	11.61	0.5
65.022853327	5	2	0	17.47	0.29	16.89	0.58
78.024588709	5	2	0	6.5	0.21	5.23	0.55
93.03019747	5	1	0	35.28	0.23	24.12	0.38
104.034288577	5	2	0	39.33	0.35	38.51	0.57
119.03673109	5	1	0	5.45	0.45	6.39	0.26
130.040738808	5	2	0	1.79	0.54	7.59	0.41
143.047628924	5	2	0	26.69	0.48	32.12	0.34
158.052197584	5	1	0	25.56	0.22	1.85	0.58
181.05898847	5	1	0	21.43	0.6	22.18	0.51
206.064477403	5	2	0	2.92	0.49	8.71	0.46
221.066915305	5	2	0	0.56	0.59	30.24	0.22
238.071087043	5	1	1	32.11	0.37	34.51	0.26
259.080058084	5	1	1	5.86	0.46	2.27	0.48
272.086225838	5	2	1	17.47	0.29	16.89	0.58
307.098055367	5	1	1	7.75	0.34	3.92	0.39
320.10287341	5	1	1	0.67	0.35	8.47	0.26
345.114058728	5	2	1	35.28	0.23	24.12	0.38
396.137130042	5	1	1	6.07	0.38	0.51	0.55
