onset	duration	choice	agent	money_left	probability_left	money_right	probability_right
17.007494107	5	2	1	12.75	0.54	17.98	0.44
32.011739233	5	1	1	20.48	0.29	15.62	0.39
47.017022924	5	1	1	16.3	0.5	33.4	0.2
62.021500682	5	1	1	16.62	0.31	17.31	0.24
73.027346988	5	2	1	7.36	0.52	21.73	0.31
84.03340376	5	1	1	20.74	0.3	13.2	0.41
99.040902061	5	2	1	2.92	0.49	8.71	0.46
112.045471785	5	2	1	6.75	0.25	8.03	0.2
133.050834327	5	1	1	24.51	0.57	32.15	0.29
146.055131011	5	1	1	17.48	0.3	3.66	0.53
157.061256047	5	1	1	21.35	0.31	8.42	0.36
172.067987888	5	1	1	9.8	0.56	10.26	0.4
185.071484739	5	1	1	30.56	0.26	15.3	0.45
196.078542417	5	1	1	7.31	0.25	2.37	0.37
209.082467199	5	1	1	23.86	0.28	16.41	0.29
228.087099748	5	1	0	24.51	0.57	32.15	0.29
239.091912089	5	1	0	16.04	0.47	16.71	0.43
250.097209945	5	1	0	31.18	0.24	17.37	0.41
263.10128558	5	2	0	22.08	0.42	19.72	0.59
278.105290252	5	2	0	18.97	0.24	16.16	0.36
291.110127238	5	1	0	11.67	0.5	14.29	0.27
306.114785631	5	1	0	9.8	0.56	10.26	0.4
319.118815768	5	2	0	22.09	0.24	30.03	0.2
330.12218836	5	1	0	35.33	0.22	28.74	0.46
341.125531625	5	2	0	33.36	0.44	31.16	0.6
354.128372981	5	1	0	28.06	0.37	4.27	0.45
369.134110254	5	1	0	20.42	0.52	22.22	0.45
382.137293728	5	2	0	21.21	0.27	12.04	0.6
397.142392144	5	2	0	26.9	0.32	24.21	0.52
412.149059494	5	2	0	12.75	0.51	31	0.4
