onset	duration	choice	agent	money_left	probability_left	money_right	probability_right
17.009387477	5	1	1	6.82	0.57	11.15	0.29
32.015325169	5	2	1	27.05	0.34	23.06	0.47
45.01983259	5	2	1	4.74	0.53	22.31	0.51
58.023871875	5	2	1	34.26	0.28	15.91	0.54
73.026069057	5	2	1	15.78	0.3	31.08	0.22
84.030604393	5	2	1	14.16	0.46	35.86	0.31
97.037097056	5	2	1	6.29	0.6	10.46	0.46
108.042115049	5	2	1	39.97	0.51	34.78	0.6
119.045410671	5	2	1	4.39	0.46	8.65	0.38
134.048035422	5	1	1	13.67	0.24	9.76	0.35
145.050435231	5	1	1	21.27	0.48	29.19	0.32
160.055594932	5	1	1	36.63	0.37	18.52	0.48
171.059985952	5	2	1	11.52	0.59	14.71	0.53
184.062253903	5	2	1	28.31	0.2	19.5	0.49
199.06717786	5	1	1	32.35	0.29	0.59	0.47
218.076574197	5	1	0	35.16	0.25	20.29	0.3
231.07964381	5	1	0	32.93	0.37	12.91	0.53
242.082945126	5	2	0	39.97	0.51	34.78	0.6
255.087717918	5	2	0	22.58	0.21	24.16	0.2
270.089811211	5	2	0	6.29	0.6	10.46	0.46
283.093677535	5	2	0	6.95	0.28	12.22	0.27
294.097344042	5	1	0	36.63	0.37	18.52	0.48
307.100773604	5	1	0	11.7	0.29	0.07	0.48
322.105045528	5	1	0	14.76	0.31	7.88	0.32
337.108126404	5	2	0	1.36	0.38	22.59	0.35
348.11113441	5	1	0	15.33	0.22	2.55	0.39
363.115318618	5	2	0	33.57	0.36	19.11	0.56
376.123306388	5	1	0	32.71	0.2	13.59	0.43
387.127321902	5	1	0	6.15	0.54	7	0.34
398.13384734	5	1	0	8.39	0.33	2.21	0.36
