onset	duration	choice	agent	money_left	probability_left	money_right	probability_right
17.008173469	5	2	0	7.39	0.57	17.63	0.5
30.012726175	5	2	0	11.56	0.38	19.7	0.37
43.018331562	5	2	0	3.58	0.51	8.83	0.28
54.022425297	5	2	0	16.38	0.49	34.15	0.27
67.025320095	5	1	0	17.94	0.34	8.69	0.45
80.028300652	5	2	0	9.17	0.55	21.94	0.39
95.031749534	5	1	0	35.21	0.23	17.22	0.43
106.035324529	5	1	0	37.52	0.25	25.21	0.36
117.040247656	5	2	0	6.82	0.57	11.15	0.29
128.046294818	5	1	0	6.68	0.58	7.51	0.39
143.048834061	5	2	0	16.84	0.34	19.86	0.3
158.053261101	5	2	0	4.24	0.44	9.99	0.37
169.058134843	5	2	0	5.48	0.43	35.03	0.22
184.062431475	5	1	0	9.14	0.39	0.72	0.57
197.06688298	5	1	0	13.65	0.49	14.16	0.46
218.074263341	5	2	1	31.63	0.33	27.28	0.45
231.079330595	5	2	1	22.58	0.21	24.16	0.2
246.084879619	5	1	1	22.1	0.53	22.78	0.27
261.088119199	5	1	1	21.81	0.52	18.15	0.56
272.094852	5	2	1	5.48	0.43	35.03	0.22
283.100412834	5	1	1	26.81	0.3	22.92	0.34
296.106193472	5	1	1	12.47	0.48	13.3	0.42
311.108600556	5	2	1	29.6	0.25	16.63	0.41
324.112792194	5	1	1	17.47	0.5	33.16	0.26
335.118053417	5	1	1	2.85	0.31	3.7	0.27
346.121359247	5	1	1	25.86	0.32	36.04	0.26
359.126876073	5	1	1	34.54	0.54	35.48	0.34
372.132579624	5	1	1	35.78	0.59	0.76	0.6
387.137801663	5	2	1	7.39	0.57	17.63	0.5
402.14354387	5	1	1	38.46	0.45	1.61	0.57
