onset	duration	choice	agent	money_left	probability_left	money_right	probability_right
17.010166187	5	1	0	39.82	0.48	33.29	0.5
32.015342166	5	1	0	4.58	0.44	7.88	0.24
45.019460736	5	1	0	10.85	0.51	14.86	0.2
56.021425062	5	2	0	30.29	0.33	23.96	0.4
69.027648703	5	1	0	31.69	0.25	26.54	0.32
80.030856762	5	1	0	36.97	0.5	37.23	0.45
93.034575079	5	2	0	14.75	0.3	12.44	0.43
108.040157821	5	2	0	2.94	0.38	12.93	0.25
123.045185252	5	1	0	10.55	0.33	2.76	0.47
134.04881732	5	2	0	24.14	0.31	34.92	0.24
147.053011839	5	1	0	38.69	0.41	33.01	0.46
162.055862096	5	1	0	2.85	0.31	3.7	0.27
173.058484802	5	2	0	0.6	0.54	28	0.3
186.063278219	5	1	0	29.6	0.25	16.63	0.41
201.067409043	5	1	0	39.03	0.4	12.21	0.44
218.074830988	5	1	1	38.69	0.41	33.01	0.46
233.078435788	5	2	1	9.69	0.24	4.4	0.53
246.084199845	5	2	1	3.24	0.29	21.19	0.23
261.08947762	5	1	1	35.16	0.25	20.29	0.3
274.091242129	5	2	1	16.35	0.52	35.99	0.4
287.099531041	5	2	1	34.15	0.22	23.32	0.38
302.103637912	5	1	1	37.99	0.35	25.12	0.52
313.106653343	5	1	1	6.15	0.54	7	0.34
328.109885045	5	1	1	30.29	0.33	23.96	0.4
339.111957629	5	1	1	22.57	0.43	23.42	0.41
352.115605541	5	1	1	11.7	0.22	1.17	0.23
367.117778972	5	1	1	31.69	0.25	26.54	0.32
380.122778052	5	2	1	18.34	0.33	29.87	0.24
391.126772451	5	1	1	25.53	0.35	3.07	0.55
402.128736552	5	2	1	11.56	0.38	19.7	0.37
