onset	duration	choice	agent	money_left	probability_left	money_right	probability_right
17.006186234	5	1	0	4.78	0.39	0.91	0.56
28.010093362	5	2	0	17.36	0.3	30.72	0.29
43.014426404	5	1	0	38.56	0.23	15.66	0.57
56.018038397	5	1	0	13.79	0.21	5.28	0.38
71.020007896	5	1	0	13.16	0.47	3	0.51
84.023710067	5	2	0	11.26	0.2	7.54	0.24
95.026275861	5	1	0	16.24	0.29	6.98	0.48
110.031021886	5	2	0	11.42	0.49	37.39	0.21
123.035895659	5	2	0	2.07	0.24	1.54	0.47
136.038916748	5	2	0	9.46	0.31	14.76	0.26
147.045732732	5	2	0	12.62	0.44	39.64	0.28
158.051781828	5	2	0	27.22	0.3	10.97	0.56
169.058696599	5	2	0	2.87	0.3	37.39	0.28
184.062668157	5	2	0	8.79	0.58	31.41	0.46
199.066125184	5	1	0	22.27	0.21	0.47	0.26
218.068297135	5	1	1	13.65	0.5	39.47	0.29
231.071356421	5	2	1	38.02	0.51	36.09	0.58
242.076636101	5	2	1	16.92	0.26	5.64	0.59
257.08122856	5	2	1	17.3	0.27	15.69	0.49
268.083801758	5	2	1	36.85	0.28	10.49	0.53
281.088860986	5	2	1	39.44	0.54	32.83	0.6
296.095077733	5	2	1	33.28	0.23	12.09	0.43
307.100525459	5	1	1	32.27	0.4	33.2	0.36
318.104312827	5	2	1	2.87	0.3	37.39	0.28
333.108249956	5	2	1	1.06	0.52	17.08	0.37
344.111290875	5	2	1	12.62	0.44	39.64	0.28
359.116471446	5	1	1	13.16	0.47	3	0.51
372.122049833	5	2	1	6.11	0.53	25.52	0.36
385.127985697	5	2	1	12.51	0.31	28.3	0.21
400.132132064	5	2	1	17.17	0.47	9.06	0.57
