onset	duration	choice	agent	money_left	probability_left	money_right	probability_right
17.008902481	5	2	0	34.7	0.25	19.97	0.37
32.014859143	5	1	0	29.38	0.41	12.61	0.57
43.01921252	5	2	0	33.01	0.23	29.3	0.42
56.025232396	5	2	0	36.27	0.34	20.56	0.53
71.030854847	5	2	0	5.72	0.43	38.38	0.37
84.035056755	5	2	0	0.72	0.52	22.23	0.38
97.038815611	5	2	0	28.63	0.35	28.57	0.57
108.040515698	5	2	0	38.02	0.51	36.09	0.58
123.045755463	5	2	0	37.98	0.3	32.7	0.43
138.048593485	5	2	0	17.37	0.43	38.67	0.27
151.051121812	5	2	0	0.41	0.55	32.41	0.38
162.056279721	5	1	0	28.08	0.26	21.22	0.29
173.061132157	5	1	0	33.52	0.58	37.52	0.5
186.064653877	5	2	0	13.65	0.5	39.47	0.29
201.068991061	5	2	0	7.31	0.55	27.28	0.21
218.074897911	5	2	1	37.98	0.3	32.7	0.43
229.078667299	5	2	1	28.08	0.26	21.22	0.29
244.082579811	5	1	1	29.19	0.6	31.23	0.51
259.088085649	5	2	1	20.41	0.24	11.62	0.54
270.092767984	5	2	1	2.07	0.24	1.54	0.47
283.098174549	5	2	1	35.35	0.24	32.28	0.52
296.102332689	5	1	1	20.14	0.35	39.68	0.2
307.106335229	5	1	1	21.56	0.35	8.97	0.45
318.110362971	5	1	1	13.79	0.21	5.28	0.38
331.114754074	5	2	1	0.72	0.52	22.23	0.38
346.119586573	5	1	1	18.76	0.24	7.15	0.56
361.122255158	5	2	1	17.37	0.43	38.67	0.27
376.125606923	5	2	1	27.22	0.3	10.97	0.56
387.130831814	5	1	1	27.15	0.25	9.6	0.46
400.136714486	5	2	1	0.93	0.57	23.75	0.45
