onset	duration	choice	agent	money_left	probability_left	money_right	probability_right
17.009301954	5	2	0	4.29	0.39	17.68	0.33
30.012996307	5	1	0	20.86	0.44	29.18	0.25
43.017919736	5	2	0	38.01	0.33	27.78	0.42
58.022862306	5	1	0	30.04	0.32	5.65	0.38
73.026732263	5	2	0	4.22	0.59	8.17	0.52
88.030752097	5	2	0	39.09	0.45	32.92	0.49
99.032479707	5	1	0	23.04	0.36	3.47	0.37
112.037111151	5	1	0	36.85	0.28	10.49	0.53
123.041629965	5	1	0	37.1	0.23	19.7	0.35
136.046505263	5	2	0	20.52	0.3	20.36	0.32
147.051768084	5	1	0	18.76	0.24	7.15	0.56
162.056207077	5	2	0	3.62	0.56	31.53	0.2
175.060677886	5	2	0	35.35	0.24	32.28	0.52
186.065661019	5	1	0	7.85	0.2	1.24	0.33
197.069811311	5	2	0	20.41	0.24	11.62	0.54
218.076306732	5	2	1	38.56	0.23	15.66	0.57
229.080751576	5	2	1	0.41	0.55	32.41	0.38
244.085541555	5	1	1	31.92	0.27	4.98	0.54
257.088324667	5	1	1	17.65	0.23	2.33	0.6
268.094847728	5	2	1	39.09	0.45	32.92	0.49
279.097430345	5	2	1	37.1	0.23	19.7	0.35
294.100617994	5	1	1	22.27	0.21	0.47	0.26
305.103873469	5	1	1	25.88	0.34	8.56	0.54
318.107361098	5	2	1	7.31	0.55	27.28	0.21
333.110930217	5	2	1	16.52	0.34	10.87	0.38
346.114112243	5	1	1	5.01	0.52	4.22	0.6
359.120296465	5	2	1	26.69	0.25	11.9	0.55
374.123063173	5	2	1	4.28	0.56	33.25	0.5
389.130436601	5	2	1	24.53	0.27	17.01	0.45
400.134182125	5	2	1	32.62	0.49	29.64	0.53
