onset	duration	choice	agent	money_left	probability_left	money_right	probability_right
17.00777569	5	2	1	9.91	0.34	2.08	0.56
28.012305695	5	2	1	38.5	0.22	26.65	0.58
43.016358174	5	2	1	5.72	0.43	38.38	0.37
56.02236443	5	2	1	35.7	0.22	29.4	0.28
71.02562664	5	2	1	4.29	0.39	17.68	0.33
84.02877973	5	2	1	6.8	0.51	30.31	0.22
99.033187534	5	2	1	18.85	0.31	10.56	0.42
110.037613946	5	2	1	36.27	0.34	20.56	0.53
125.040967233	5	2	1	29.38	0.41	12.61	0.57
140.0451145	5	2	1	11.42	0.49	37.39	0.21
151.050484199	5	2	1	0.16	0.59	4.1	0.32
162.05658909	5	2	1	28.63	0.35	28.57	0.57
175.059202936	5	2	1	20.52	0.3	20.36	0.32
188.064184785	5	2	1	13.77	0.34	11.97	0.44
201.066666843	5	1	1	18.92	0.3	17.84	0.31
218.07149293	5	1	0	4.02	0.21	1.69	0.47
229.076344268	5	2	0	26.69	0.25	11.9	0.55
240.082908272	5	2	0	1.06	0.52	17.08	0.37
255.086559912	5	2	0	4.64	0.56	26.44	0.4
268.091555083	5	2	0	38.5	0.22	26.65	0.58
279.095149911	5	1	0	9.91	0.34	2.08	0.56
294.101134711	5	2	0	3.39	0.46	22.98	0.31
305.107027601	5	2	0	16.34	0.47	27.56	0.33
320.115021229	5	1	0	18.9	0.43	15.94	0.44
335.118729878	5	2	0	15.68	0.41	33.99	0.21
348.122191295	5	2	0	24.15	0.42	17.74	0.52
359.127454003	5	1	0	29.19	0.6	31.23	0.51
374.131360461	5	1	0	18.92	0.3	17.84	0.31
387.138062609	5	1	0	16.92	0.26	5.64	0.59
400.140358318	5	2	0	18.63	0.35	31.34	0.25
