onset	duration	choice	agent	money_left	probability_left	money_right	probability_right
17.005431907	5	2	1	15.42	0.32	23.37	0.23
32.008438424	5	2	1	7.39	0.57	17.63	0.5
45.012151471	5	1	1	38.98	0.36	4.45	0.56
56.014372308	5	2	1	28.31	0.2	19.5	0.49
71.017730312	5	2	1	6.95	0.28	12.22	0.27
84.023106739	5	1	1	13.32	0.25	3.39	0.44
95.029731962	5	2	1	4.74	0.53	22.31	0.51
106.033980993	5	2	1	8.47	0.22	4.61	0.32
121.042166062	5	1	1	32.35	0.29	0.59	0.47
132.047935346	5	1	1	39.82	0.48	33.29	0.5
147.054840689	5	1	1	35.73	0.42	29.68	0.53
158.057442159	5	2	1	3.96	0.3	2.94	0.51
171.059621107	5	1	1	11.7	0.29	0.07	0.48
184.06560529	5	2	1	12.16	0.33	18.26	0.24
199.068601428	5	2	1	15.34	0.31	12.76	0.38
218.077139975	5	1	0	10.85	0.51	14.86	0.2
233.078632058	5	2	0	38.7	0.27	22.38	0.47
246.084733808	5	1	0	5.27	0.36	5.29	0.21
261.088968844	5	1	0	14.57	0.34	6.9	0.52
276.09410196	5	2	0	30.89	0.35	30.39	0.45
289.097878407	5	1	0	6.82	0.57	11.15	0.29
304.1018095	5	2	0	5.8	0.3	8.58	0.26
319.108713084	5	1	0	32.93	0.37	12.91	0.53
330.112810898	5	2	0	21.75	0.22	16.32	0.44
343.114890855	5	1	0	13.31	0.47	17.68	0.38
356.120097997	5	1	0	34.54	0.54	35.48	0.34
369.122062172	5	2	0	20.85	0.35	24.97	0.29
380.125371045	5	2	0	18.34	0.33	29.87	0.24
391.130928876	5	2	0	22.99	0.42	31.96	0.28
402.135550573	5	2	0	16.35	0.52	35.99	0.4
