onset	duration	choice	agent	money_left	probability_left	money_right	probability_right
17.006583447	5	1	1	32.36	0.23	14.49	0.38
32.011277101	5	1	1	20.49	0.21	1.66	0.48
45.01598133	5	2	1	4.21	0.42	3.32	0.51
56.019961618	5	1	1	6.45	0.57	11.07	0.2
69.023019415	5	2	1	9.55	0.39	11.65	0.36
84.028155617	5	2	1	0.42	0.6	20.53	0.25
97.034698049	5	2	1	32.15	0.32	19.68	0.47
108.038689714	5	1	1	25.99	0.46	28.02	0.38
121.043487921	5	2	1	12.72	0.45	35.51	0.24
132.046853668	5	2	1	15.27	0.29	19.03	0.27
147.049673649	5	2	1	35.1	0.35	18.34	0.56
160.05501959	5	2	1	5.34	0.47	29.4	0.22
171.058045718	5	2	1	4.9	0.42	38.23	0.2
182.062164808	5	1	1	29.84	0.24	16.28	0.51
197.06574213	5	2	1	33.63	0.24	21.69	0.55
218.072272372	5	2	0	29.96	0.23	21.69	0.57
229.076785212	5	2	0	5.81	0.52	33.03	0.39
244.081371584	5	1	0	32.15	0.32	19.68	0.47
255.08375544	5	2	0	0.4	0.44	39.23	0.33
266.089481026	5	2	0	0.58	0.44	1.61	0.35
279.095392171	5	1	0	10.81	0.25	2.92	0.51
294.10179661	5	2	0	14.65	0.56	37.28	0.29
309.105640696	5	2	0	22.37	0.26	20.5	0.57
322.111493162	5	2	0	8.86	0.41	21.58	0.28
333.116750879	5	2	0	16.77	0.53	18.73	0.48
348.119257299	5	2	0	23.77	0.41	18	0.55
361.126051152	5	2	0	19.08	0.31	18.19	0.39
374.132630055	5	2	0	28.62	0.43	24.39	0.52
389.137668361	5	1	0	31.5	0.57	38.09	0.25
402.14052749	5	1	0	28.48	0.43	14.73	0.56
