onset	duration	choice	agent	money_left	probability_left	money_right	probability_right
17.008386717	5	2	1	5.81	0.52	33.03	0.39
32.013831303	5	1	1	27.8	0.32	27.27	0.33
45.018184017	5	1	1	19.08	0.31	18.19	0.39
58.021446532	5	2	1	9.49	0.44	17.91	0.31
69.02514572	5	1	1	18.8	0.55	20.52	0.42
82.030046345	5	1	1	28.23	0.23	20.66	0.27
97.035369214	5	2	1	5.42	0.38	26.59	0.35
112.037803119	5	1	1	14.65	0.43	19.02	0.33
123.040415139	5	1	1	20.43	0.2	18.88	0.21
138.045854533	5	1	1	34.29	0.32	35.53	0.23
149.046962374	5	1	1	10.19	0.47	36.68	0.22
162.049358374	5	2	1	4.17	0.26	2.25	0.59
173.053053491	5	1	1	12.78	0.4	3.21	0.49
186.056197985	5	2	1	1.85	0.5	36	0.36
197.058062636	5	1	1	5.91	0.32	4.39	0.39
218.066013765	5	2	0	5.42	0.38	26.59	0.35
231.07144063	5	2	0	21.43	0.27	36.21	0.21
246.075391792	5	2	0	2.01	0.5	34.39	0.42
257.080632684	5	1	0	13.38	0.41	8.69	0.56
272.086105544	5	1	0	17.85	0.46	13.35	0.54
283.092360337	5	2	0	1.09	0.44	10.24	0.37
296.095571137	5	1	0	17.87	0.3	9.76	0.49
309.101637457	5	2	0	35.1	0.35	18.34	0.56
324.104331855	5	2	0	0.42	0.6	20.53	0.25
339.108016603	5	1	0	4.21	0.42	3.32	0.51
350.11401947	5	2	0	28.08	0.23	23.39	0.37
363.117011179	5	2	0	13.48	0.59	27.41	0.46
378.120686649	5	1	0	32.36	0.23	14.49	0.38
389.12487712	5	1	0	31	0.44	15.61	0.6
402.128657132	5	1	0	17.84	0.46	37.7	0.31
