onset	duration	choice	agent	money_left	probability_left	money_right	probability_right
17.007934227	5	2	1	12.92	0.56	24.34	0.48
30.012837582	5	2	1	36.43	0.31	35.26	0.49
43.017756487	5	1	1	13.08	0.42	25.14	0.24
58.020560887	5	2	1	13.05	0.22	6.49	0.43
73.023201515	5	2	1	3.51	0.27	27.17	0.22
88.028118474	5	1	1	18.33	0.36	4.71	0.58
99.03400163	5	2	1	22.54	0.28	18.76	0.59
110.037688967	5	2	1	7.24	0.29	4.46	0.55
123.04305929	5	2	1	11.07	0.24	39.74	0.23
134.048878418	5	2	1	29.28	0.2	20.57	0.39
145.054360563	5	2	1	19.56	0.35	16.97	0.54
156.060961372	5	2	1	0.02	0.55	8.32	0.29
171.066314352	5	2	1	18.06	0.56	20.08	0.5
184.071439032	5	2	1	31.88	0.52	39.93	0.3
197.077186866	5	1	1	28.96	0.23	24.38	0.33
218.085815417	5	2	0	1.98	0.41	21.52	0.35
229.089365723	5	1	0	13.05	0.22	6.49	0.43
240.091316126	5	2	0	6.26	0.32	24.92	0.21
255.094150763	5	2	0	23.33	0.44	33.94	0.22
266.098195312	5	2	0	3.18	0.38	35.22	0.34
279.102238819	5	2	0	35.85	0.32	23.43	0.5
292.106850873	5	1	0	9.79	0.59	10.79	0.51
307.110568461	5	1	0	24.29	0.51	28.83	0.26
322.115518897	5	2	0	15.67	0.27	12.02	0.41
335.11957083	5	2	0	1.58	0.31	2.3	0.27
350.123433428	5	2	0	38.03	0.38	27.01	0.6
363.127634753	5	1	0	30.89	0.25	17.52	0.57
374.131930373	5	2	0	17.62	0.28	15.31	0.36
385.137821535	5	1	0	17.04	0.48	6.93	0.52
400.141769721	5	1	0	34.82	0.3	16.58	0.46
