onset	duration	choice	agent	money_left	probability_left	money_right	probability_right
17.005126389	5	2	1	10.91	0.56	13.05	0.49
30.008889746	5	1	1	12.25	0.4	12.46	0.22
43.015063636	5	1	1	19.09	0.27	14.66	0.35
54.021261347	5	2	1	6.38	0.56	29.33	0.42
65.026983555	5	2	1	8.58	0.23	6.06	0.46
78.032503917	5	2	1	23.42	0.48	37.08	0.39
93.036709294	5	1	1	38.27	0.3	0.58	0.37
108.044703016	5	2	1	26.67	0.36	38.91	0.2
123.051437311	5	2	1	6.91	0.4	31.36	0.26
134.053601008	5	1	1	28.77	0.27	7.54	0.32
149.057690174	5	1	1	20.17	0.56	21.51	0.44
160.060993621	5	2	1	11.92	0.37	10.16	0.5
175.066423692	5	2	1	0.79	0.5	14.59	0.36
188.071310301	5	1	1	6.61	0.25	3.95	0.42
201.073375245	5	2	1	9.63	0.47	36.46	0.2
218.082007066	5	2	0	1.24	0.42	7.46	0.27
233.08526532	5	1	0	23.51	0.34	19.56	0.4
246.088769469	5	2	0	0.5	0.52	11.6	0.25
259.093395643	5	2	0	7.24	0.29	4.46	0.55
272.095518951	5	2	0	36.43	0.31	35.26	0.49
283.1018339	5	2	0	21.21	0.28	19.21	0.36
296.10606719	5	1	0	38.48	0.52	12.61	0.58
311.108222812	5	1	0	13.29	0.28	18.64	0.21
322.112868122	5	2	0	11.07	0.24	39.74	0.23
337.116233463	5	1	0	31.49	0.31	4.17	0.35
348.121815026	5	1	0	30.92	0.31	26.11	0.48
359.126817019	5	1	0	12.25	0.4	12.46	0.22
374.13427278	5	1	0	18.27	0.47	16.67	0.55
387.137939652	5	2	0	9.08	0.46	21.17	0.33
398.140506984	5	1	0	25.96	0.3	8.07	0.5
