onset	duration	choice	agent	money_left	probability_left	money_right	probability_right
17.008036745	5	1	0	15.21	0.59	24.98	0.26
28.013557627	5	2	0	19.58	0.3	11.2	0.49
43.018230809	5	1	0	8.43	0.53	8.48	0.34
54.022794713	5	2	0	35.01	0.37	30.92	0.51
69.027387107	5	2	0	13.85	0.27	12.54	0.47
82.032016866	5	2	0	39.82	0.29	32.2	0.33
93.035128373	5	1	0	16.27	0.6	26.8	0.27
108.043018264	5	1	0	16.89	0.56	25.3	0.22
119.048657555	5	2	0	6.73	0.55	31.74	0.41
132.053100913	5	1	0	20.17	0.56	21.51	0.44
147.055740412	5	1	0	31.88	0.52	39.93	0.3
160.058261803	5	2	0	26.91	0.43	32.9	0.42
171.063546759	5	1	0	36.21	0.23	0.62	0.6
184.068409083	5	1	0	15.55	0.26	0.4	0.3
199.074914355	5	1	0	19.85	0.44	24.21	0.38
218.08091137	5	2	1	31.71	0.41	25.26	0.57
229.084989382	5	1	1	10.24	0.57	15.73	0.24
244.089836353	5	2	1	5.18	0.45	22.47	0.37
257.093177401	5	1	1	11.11	0.57	16.75	0.2
272.099858905	5	1	1	23.33	0.44	33.94	0.22
287.102919567	5	2	1	35.01	0.37	30.92	0.51
300.107074738	5	2	1	5.2	0.37	14.89	0.29
313.109481081	5	1	1	25.63	0.36	5.24	0.55
326.115483027	5	2	1	37.4	0.48	35.16	0.59
337.119660467	5	1	1	35.85	0.32	23.43	0.5
348.122420125	5	2	1	13.29	0.28	18.64	0.21
359.127860336	5	2	1	9.08	0.46	21.17	0.33
374.131338693	5	1	1	38.48	0.52	12.61	0.58
389.133758631	5	2	1	0.5	0.52	11.6	0.25
400.137786946	5	2	1	21.58	0.39	20.36	0.44
