onset	duration	choice	agent	money_left	probability_left	money_right	probability_right
17.009883983	5	2	0	9.76	0.33	27.87	0.23
28.013226008	5	2	0	23.55	0.28	19.98	0.34
41.016775403	5	2	0	6.13	0.48	13.84	0.44
54.019644582	5	2	0	32.61	0.34	31.47	0.53
69.023166573	5	1	0	8.8	0.6	13.02	0.27
82.027475136	5	1	0	17.72	0.25	3.35	0.33
93.031739572	5	1	0	34.57	0.52	28.21	0.55
108.034125571	5	1	0	15.66	0.26	0.29	0.46
119.036372554	5	1	0	23.26	0.26	8.66	0.54
134.041660514	5	1	0	26.06	0.41	33.04	0.35
145.046680079	5	2	0	8.54	0.47	24.41	0.29
160.050755908	5	2	0	35.03	0.35	34.65	0.36
171.053689478	5	2	0	7.15	0.34	6.36	0.48
186.05801934	5	1	0	12.6	0.31	4.34	0.4
199.06116055	5	1	0	8.07	0.3	3.7	0.49
218.06588713	5	1	1	8.58	0.6	13.81	0.35
231.070723712	5	2	1	6.39	0.22	17.58	0.2
246.074817747	5	2	1	3.72	0.34	2.18	0.42
259.078554406	5	2	1	6.77	0.32	6.05	0.46
274.081940187	5	2	1	15.81	0.45	35.61	0.35
289.085386834	5	2	1	29.21	0.46	27.97	0.58
302.090954674	5	1	1	25.55	0.34	1.46	0.51
317.099230436	5	2	1	39.38	0.27	25.54	0.55
330.10113428	5	1	1	13.42	0.37	20.47	0.23
341.104798523	5	1	1	23.26	0.26	8.66	0.54
352.110064849	5	2	1	11.17	0.47	37.68	0.2
363.112892975	5	2	1	8.96	0.53	35.32	0.21
374.116756912	5	1	1	28.09	0.3	31.93	0.22
385.118653368	5	1	1	17.53	0.22	23.03	0.2
400.123248335	5	1	1	5.57	0.42	6.49	0.32
