onset	duration	choice	agent	money_left	probability_left	money_right	probability_right
17.009872804	5	2	1	4.02	0.59	27.32	0.4
30.013738733	5	2	1	12.04	0.39	6.05	0.56
43.016883186	5	2	1	9.76	0.33	27.87	0.23
64.025592269	5	2	1	23.55	0.28	19.98	0.34
79.032223717	5	2	1	29.87	0.22	15.04	0.49
90.038168592	5	2	1	22.21	0.27	21.38	0.33
103.043279998	5	2	1	28.91	0.34	15.35	0.51
118.046125393	5	2	1	7.25	0.6	30.8	0.28
131.049910207	5	1	1	32.58	0.52	2.4	0.53
146.053839177	5	2	1	1.71	0.5	35.78	0.36
159.06000071	5	2	1	6.12	0.51	24.98	0.38
170.062597143	5	2	1	17.64	0.32	11.46	0.4
185.068577752	5	2	1	25.47	0.21	10.8	0.46
196.072260215	5	1	1	32.24	0.37	35.91	0.35
211.077737366	5	1	1	31.99	0.34	5.09	0.41
228.082687887	5	2	0	17.6	0.54	23.03	0.45
241.087161993	5	2	0	17.95	0.25	11.22	0.44
252.092923513	5	1	0	10	0.31	14.47	0.25
267.095692215	5	1	0	34.1	0.48	23.7	0.54
278.099402873	5	1	0	19.85	0.38	12.38	0.49
291.103227428	5	1	0	37.75	0.29	33.4	0.38
304.106468406	5	1	0	13.42	0.37	20.47	0.23
319.112493184	5	2	0	17.53	0.22	23.03	0.2
334.114453705	5	1	0	22.07	0.57	28.61	0.39
345.118302616	5	1	0	32.45	0.4	35.65	0.29
356.122582402	5	2	0	7.33	0.38	16.79	0.36
369.126392775	5	2	0	5.54	0.31	3.5	0.51
380.13205371	5	2	0	8.01	0.48	21.86	0.22
403.13982746	5	2	0	35.58	0.27	27.06	0.37
418.143806942	5	1	0	14.74	0.49	28.38	0.21
