onset	duration	choice	agent	money_left	probability_left	money_right	probability_right
17.01094946	5	1	0	2.43	0.58	7.93	0.22
32.015213253	5	2	0	10.13	0.43	15.04	0.41
47.018425586	5	2	0	0.68	0.34	3.48	0.21
58.024483634	5	2	0	14.02	0.49	19.02	0.41
69.029249188	5	1	0	19.49	0.43	21.91	0.39
80.032406094	5	2	0	0.45	0.55	12.29	0.44
93.037909058	5	1	0	22.47	0.46	25.88	0.36
106.043212935	5	1	0	16.89	0.2	3.82	0.36
121.048994698	5	1	0	27.51	0.27	2.49	0.56
134.05265836	5	2	0	22.46	0.32	11.9	0.6
149.056382299	5	1	0	13.69	0.46	27.51	0.2
162.061018018	5	1	0	21.01	0.53	29.39	0.4
175.065157111	5	1	0	25.47	0.43	4.03	0.57
190.068860441	5	2	0	1.53	0.58	30.05	0.4
201.071872659	5	1	0	25.68	0.45	19.35	0.54
218.076384707	5	2	1	1.32	0.29	20.76	0.25
231.083329169	5	1	1	29.45	0.42	12.34	0.52
244.088200861	5	2	1	37.28	0.22	10.48	0.6
255.092005272	5	1	1	6.13	0.27	4.93	0.31
268.099023797	5	2	1	33.38	0.24	15.56	0.4
279.102950091	5	1	1	25.14	0.49	26.3	0.48
294.106073646	5	2	1	24.37	0.28	18.08	0.59
309.111385476	5	2	1	11.07	0.23	8.63	0.54
322.11667479	5	1	1	24.8	0.53	36.11	0.34
337.120384215	5	1	1	10.14	0.6	12.76	0.43
348.127035331	5	1	1	24.46	0.26	1	0.36
363.132072817	5	2	1	10.13	0.43	15.04	0.41
374.137806895	5	1	1	15.85	0.52	18.71	0.31
385.143188553	5	2	1	23.7	0.31	39.65	0.2
400.146469861	5	1	1	25.38	0.28	25.45	0.26
