onset	duration	choice	agent	money_left	probability_left	money_right	probability_right
17.00742526	5	1	1	22.1	0.53	22.78	0.27
28.010928077	5	2	1	2.94	0.38	12.93	0.25
43.015137147	5	2	1	16.35	0.52	35.99	0.4
56.020894309	5	2	1	14.16	0.34	8.36	0.54
71.024871732	5	1	1	15.33	0.22	2.55	0.39
82.027855106	5	1	1	6.68	0.58	7.51	0.39
97.034873154	5	2	1	31.63	0.33	27.28	0.45
110.038760028	5	2	1	38.15	0.51	28.85	0.58
121.041675325	5	2	1	28.39	0.27	15.02	0.59
132.04672931	5	2	1	29.27	0.25	24.1	0.34
147.04957178	5	1	1	14.12	0.56	6.42	0.58
162.052092383	5	2	1	7.48	0.29	9.63	0.28
175.056199834	5	2	1	4.65	0.45	11.96	0.27
188.05984585	5	2	1	9.17	0.55	21.94	0.39
201.063732355	5	2	1	7.51	0.59	16.15	0.23
218.069372529	5	2	0	7.39	0.57	17.63	0.5
231.072219306	5	1	0	38.69	0.41	33.01	0.46
242.076566951	5	2	0	2.94	0.38	12.93	0.25
253.079895267	5	2	0	5.48	0.43	35.03	0.22
268.081788266	5	2	0	28.31	0.2	19.5	0.49
283.086198629	5	1	0	36.6	0.21	10.86	0.54
294.090741402	5	1	0	13.65	0.49	14.16	0.46
305.09684458	5	1	0	11.52	0.59	14.71	0.53
316.10080834	5	2	0	14.16	0.34	8.36	0.54
331.104709503	5	1	0	9.14	0.39	0.72	0.57
346.110408312	5	2	0	6.95	0.28	12.22	0.27
359.114196028	5	1	0	10.56	0.29	2.14	0.35
372.118549284	5	1	0	6.15	0.54	7	0.34
385.124041307	5	1	0	39.89	0.27	30.59	0.36
400.128835605	5	1	0	10.08	0.43	10.35	0.41
