onset	duration	choice	agent	money_left	probability_left	money_right	probability_right
17.005881598	5	2	0	30.89	0.35	30.39	0.45
32.012086788	5	1	0	24.14	0.31	34.92	0.24
45.018283692	5	1	0	5.27	0.36	5.29	0.21
60.022299993	5	1	0	10.45	0.48	19.99	0.26
71.026059574	5	1	0	33.4	0.44	35.93	0.4
86.0301827	5	2	0	16.38	0.49	34.15	0.27
97.033070995	5	2	0	6.29	0.6	10.46	0.46
112.037687287	5	1	0	38.98	0.36	4.45	0.56
127.041904702	5	1	0	25.53	0.35	3.07	0.55
140.045353123	5	2	0	4.2	0.44	6.18	0.41
153.049924173	5	1	0	14.76	0.31	7.88	0.32
166.05453813	5	2	0	38.15	0.51	28.85	0.58
177.057207568	5	1	0	38.46	0.45	1.61	0.57
188.058522582	5	1	0	12.47	0.48	13.3	0.42
201.063518785	5	1	0	19.96	0.37	30.6	0.2
218.06841639	5	1	1	38.69	0.41	33.01	0.46
229.073023384	5	1	1	35.62	0.4	7.49	0.47
240.076220626	5	2	1	26.81	0.3	22.92	0.34
255.080327498	5	2	1	8.01	0.53	30.19	0.26
268.08645508	5	2	1	12.16	0.33	18.26	0.24
279.090773433	5	2	1	7.39	0.57	17.63	0.5
290.093902843	5	1	1	16.38	0.49	34.15	0.27
305.102910472	5	1	1	8.47	0.22	4.61	0.32
320.1083818	5	2	1	6.95	0.28	12.22	0.27
333.112179925	5	1	1	11.52	0.59	14.71	0.53
348.115313458	5	2	1	35.18	0.22	15.41	0.47
361.119715324	5	1	1	19.96	0.37	30.6	0.2
376.122712241	5	2	1	36.63	0.37	18.52	0.48
387.128249857	5	1	1	10.55	0.33	2.76	0.47
400.132175022	5	1	1	15.05	0.21	9.46	0.37
