onset	duration	choice	agent	money_left	probability_left	money_right	probability_right
17.009949489	5	2	0	12.78	0.23	10.45	0.52
32.013393975	5	1	0	29.27	0.25	24.1	0.34
45.017497727	5	1	0	36.63	0.37	18.52	0.48
60.021827516	5	1	0	7.63	0.58	11.89	0.38
75.024459882	5	1	0	22.1	0.53	22.78	0.27
88.026868182	5	1	0	34.67	0.38	21.95	0.52
99.031562471	5	1	0	17.94	0.34	8.69	0.45
112.032926017	5	1	0	34.26	0.28	15.91	0.54
125.035254337	5	2	0	7.51	0.59	16.15	0.23
136.041225396	5	1	0	14.12	0.56	6.42	0.58
149.045827337	5	1	0	6.68	0.58	7.51	0.39
164.050049877	5	1	0	15.33	0.22	2.55	0.39
175.054264861	5	1	0	32.71	0.2	13.59	0.43
190.059429786	5	2	0	17.47	0.5	33.16	0.26
201.061659096	5	2	0	26.64	0.47	35.09	0.39
218.06676803	5	1	1	36.93	0.32	26.58	0.46
233.071075989	5	2	1	22.34	0.23	33.51	0.2
246.076597338	5	1	1	34.54	0.54	35.48	0.34
261.078952475	5	1	1	10.45	0.48	19.99	0.26
272.083214416	5	1	1	33.4	0.44	35.93	0.4
287.08692471	5	2	1	20.23	0.32	34.01	0.22
300.092296317	5	2	1	29.6	0.25	16.63	0.41
313.097388607	5	1	1	24.07	0.57	29.84	0.48
324.102375715	5	1	1	8.39	0.33	2.21	0.36
339.106391832	5	2	1	17.47	0.5	33.16	0.26
350.112988358	5	2	1	29.28	0.4	18.67	0.46
361.117325145	5	1	1	13.65	0.49	14.16	0.46
372.12221561	5	2	1	1.36	0.38	22.59	0.35
387.125198994	5	2	1	37.81	0.42	27.18	0.53
400.131122914	5	2	1	33.36	0.42	29.24	0.56
