onset	duration	choice	agent	money_left	probability_left	money_right	probability_right
17.007545089	5	2	1	18.34	0.33	29.87	0.24
32.011438019	5	1	1	36.6	0.21	10.86	0.54
45.016571822	5	2	1	4.74	0.53	22.31	0.51
58.018615001	5	2	1	17.4	0.31	12.61	0.45
73.021639433	5	2	1	33.57	0.36	19.11	0.56
84.023489441	5	1	1	9.14	0.39	0.72	0.57
97.026657811	5	2	1	20.45	0.28	12.6	0.53
108.030615463	5	1	1	34.05	0.27	23.14	0.44
119.03438581	5	2	1	26.64	0.47	35.09	0.39
134.038813774	5	2	1	31.69	0.25	26.54	0.32
145.044859722	5	2	1	35.81	0.33	18.14	0.58
160.048803574	5	1	1	11.7	0.29	0.07	0.48
171.054648697	5	1	1	34.26	0.28	15.91	0.54
184.058571857	5	1	1	26.03	0.21	0.11	0.46
199.064237962	5	1	1	39.03	0.4	12.21	0.44
218.070586527	5	1	0	16.25	0.42	9.54	0.51
231.074442891	5	2	0	30.73	0.3	28.08	0.47
242.077401097	5	2	0	34.05	0.27	23.14	0.44
255.081192515	5	2	0	13.67	0.24	9.76	0.35
270.085392804	5	2	0	20.45	0.28	12.6	0.53
283.088986904	5	2	0	28.39	0.27	15.02	0.59
294.093947953	5	1	0	11.7	0.29	0.07	0.48
307.096189005	5	1	0	37.04	0.24	8.91	0.55
322.101703743	5	2	0	31.63	0.33	27.28	0.45
337.106085533	5	2	0	1.36	0.38	22.59	0.35
348.108528749	5	2	0	33.36	0.42	29.24	0.56
363.111539204	5	1	0	8.47	0.22	4.61	0.32
376.11510249	5	2	0	12.16	0.33	18.26	0.24
387.120908809	5	2	0	17.94	0.39	39.28	0.21
398.125439635	5	1	0	10.55	0.33	2.76	0.47
