onset	duration	choice	agent	money_left	probability_left	money_right	probability_right
17.004852201	5	1	1	21.27	0.48	29.19	0.32
32.008454477	5	2	1	30.73	0.3	28.08	0.47
45.009848609	5	1	1	38.98	0.36	4.45	0.56
56.013814448	5	1	1	35.16	0.25	20.29	0.3
71.020843672	5	2	1	6.29	0.6	10.46	0.46
84.024043712	5	2	1	2.68	0.38	7.8	0.31
95.027703098	5	2	1	0.6	0.54	28	0.3
106.033603516	5	1	1	12.47	0.48	13.3	0.42
121.03771434	5	1	1	32.35	0.29	0.59	0.47
132.042213154	5	2	1	30.89	0.35	30.39	0.45
147.046293232	5	1	1	10.08	0.43	10.35	0.41
158.050238961	5	2	1	37.99	0.35	25.12	0.52
171.054269312	5	1	1	10.56	0.29	2.14	0.35
184.060371385	5	1	1	6.82	0.57	11.15	0.29
199.066250355	5	2	1	31.44	0.36	29.43	0.39
218.071903695	5	2	0	21.06	0.25	13.56	0.49
233.074569509	5	1	0	11.58	0.26	3.73	0.52
246.078710729	5	1	0	31.69	0.25	26.54	0.32
261.08116278	5	2	0	35.81	0.33	18.14	0.58
276.086022118	5	1	0	39.82	0.48	33.29	0.5
289.090291858	5	1	0	26.81	0.3	22.92	0.34
304.096725261	5	2	0	15.48	0.55	14.09	0.57
319.101684292	5	2	0	16.35	0.52	35.99	0.4
330.103046688	5	2	0	33.57	0.36	19.11	0.56
343.107274607	5	1	0	21.57	0.56	33.31	0.39
356.111640218	5	1	0	26.03	0.21	0.11	0.46
369.119628472	5	2	0	17.4	0.31	12.61	0.45
380.123078901	5	2	0	34.15	0.22	23.32	0.38
391.126087082	5	1	0	22.57	0.43	23.42	0.41
402.130144862	5	2	0	17.17	0.52	37.69	0.43
