onset	duration	choice	agent	money_left	probability_left	money_right	probability_right
17.004776767	5	2	0	18.92	0.3	17.84	0.31
32.009666921	5	1	0	3.01	0.57	4.06	0.48
43.015006698	5	1	0	37.79	0.37	29.25	0.43
56.021073869	5	2	0	39.15	0.2	26.34	0.55
69.02695475	5	2	0	12.28	0.41	38.92	0.34
82.031159339	5	2	0	31.2	0.44	28.66	0.54
97.033354698	5	2	0	10.16	0.26	10.12	0.27
110.037123585	5	1	0	23.61	0.54	32.9	0.32
121.041623419	5	1	0	24.53	0.23	3.05	0.51
134.047107604	5	2	0	0.52	0.48	8.62	0.32
149.052413614	5	1	0	32.93	0.59	39.06	0.37
164.057520992	5	2	0	14.42	0.43	21.71	0.37
179.061508906	5	1	0	7.71	0.53	10.29	0.28
190.066730943	5	2	0	18.63	0.35	31.34	0.25
201.069748816	5	1	0	11.34	0.58	15.07	0.2
218.075513473	5	2	1	1.06	0.52	17.08	0.37
233.083367714	5	2	1	0.52	0.48	8.62	0.32
246.087360061	5	1	1	19.64	0.49	21.91	0.35
261.091500164	5	2	1	11.04	0.27	6.26	0.53
274.094455898	5	1	1	7.54	0.46	8.19	0.35
289.098104062	5	2	1	38.56	0.23	15.66	0.57
300.103556994	5	1	1	20.41	0.24	11.62	0.54
311.106246455	5	2	1	1.21	0.46	8.41	0.36
324.110822096	5	1	1	39.8	0.26	18.88	0.32
335.115016035	5	2	1	2.07	0.24	1.54	0.47
348.118685268	5	2	1	35.35	0.24	32.28	0.52
359.123337278	5	2	1	14.42	0.43	21.71	0.37
372.127630424	5	1	1	14.01	0.26	1.91	0.38
387.134156373	5	1	1	31.92	0.27	4.98	0.54
402.140331975	5	1	1	13.16	0.47	3	0.51
