onset	duration	choice	agent	money_left	probability_left	money_right	probability_right
17.009690672	5	1	0	10.85	0.51	14.86	0.2
32.01518875	5	1	0	12.6	0.22	4.89	0.29
45.018647342	5	1	0	5.27	0.36	5.29	0.21
60.022457525	5	1	0	14.57	0.34	6.9	0.52
75.027362083	5	1	0	26.66	0.27	9.93	0.55
88.028512749	5	1	0	6.82	0.57	11.15	0.29
103.032284028	5	2	0	5.8	0.3	8.58	0.26
118.036608318	5	1	0	32.93	0.37	12.91	0.53
129.040347883	5	2	0	21.75	0.22	16.32	0.44
142.045095672	5	1	0	13.31	0.47	17.68	0.38
155.050129852	5	1	0	34.54	0.54	35.48	0.34
168.056378902	5	1	0	20.85	0.35	24.97	0.29
179.06058253	5	2	0	18.34	0.33	29.87	0.24
190.063636508	5	2	0	19.35	0.37	14.15	0.55
201.0677464	5	2	0	16.35	0.52	35.99	0.4
218.073973371	5	2	1	15.42	0.32	23.37	0.23
233.076648662	5	2	1	7.39	0.57	17.63	0.5
246.079673625	5	1	1	38.98	0.36	4.45	0.56
257.082956311	5	2	1	14.03	0.57	36.78	0.25
272.086776326	5	2	1	6.95	0.28	12.22	0.27
285.092476487	5	1	1	13.32	0.25	3.39	0.44
296.096571484	5	2	1	4.74	0.53	22.31	0.51
307.100758654	5	1	1	8.47	0.22	4.61	0.32
322.106161116	5	1	1	32.35	0.29	0.59	0.47
333.109589832	5	1	1	39.82	0.48	33.29	0.5
348.111732631	5	1	1	35.73	0.42	29.68	0.53
359.116892338	5	1	1	3.96	0.3	2.94	0.51
372.122500872	5	1	1	11.7	0.29	0.07	0.48
385.125978464	5	1	1	12.16	0.33	18.26	0.24
400.130903451	5	1	1	15.34	0.31	12.76	0.38
