onset	duration	choice	agent	money_left	probability_left	money_right	probability_right
17.006905432	5	2	0	5.28	0.6	11.13	0.37
30.009101726	5	2	0	17.17	0.52	37.69	0.43
45.013218458	5	2	0	15.42	0.32	23.37	0.23
56.018195178	5	2	0	38.48	0.21	21.13	0.5
71.023902442	5	1	0	35.62	0.4	7.49	0.47
84.025857829	5	1	0	39.03	0.4	12.21	0.44
97.02911109	5	1	0	35.78	0.59	0.76	0.6
110.033573706	5	2	0	7.48	0.29	9.63	0.28
121.036049763	5	1	0	38.15	0.51	28.85	0.58
136.040182998	5	2	0	12.16	0.33	18.26	0.24
147.046515333	5	1	0	8.04	0.54	5.99	0.56
158.050485121	5	2	0	1.36	0.38	22.59	0.35
173.054357224	5	1	0	25.53	0.35	3.07	0.55
188.057399979	5	1	0	38.7	0.27	22.38	0.47
209.067143771	5	1	0	16.14	0.6	18.13	0.4
238.07665862	5	1	1	17.94	0.34	8.69	0.45
249.082249855	5	1	1	12.6	0.22	4.89	0.29
260.086092653	5	2	1	27.44	0.29	34.36	0.2
271.089142701	5	1	1	22.57	0.43	23.42	0.41
286.093548657	5	1	1	10.85	0.51	14.86	0.2
299.096349688	5	1	1	11.48	0.25	11.01	0.57
312.099878999	5	2	1	21.82	0.6	34.97	0.45
327.104219496	5	1	1	23.79	0.43	37.5	0.23
342.10955359	5	2	1	37.41	0.34	21.17	0.59
355.113427721	5	2	1	18.34	0.33	29.87	0.24
370.11800291	5	1	1	26.66	0.27	9.93	0.55
385.119962589	5	2	1	31.61	0.35	19.29	0.56
398.123289352	5	1	1	10.55	0.33	2.76	0.47
409.125562315	5	1	1	39.99	0.4	34.8	0.45
422.127904635	5	1	1	5.8	0.3	8.58	0.26
