onset	duration	choice	agent	money_left	probability_left	money_right	probability_right
17.006854653	5	2	0	27.05	0.34	23.06	0.47
32.014898023	5	1	0	24.07	0.57	29.84	0.48
45.018816728	5	1	0	29.28	0.4	18.67	0.46
56.022994285	5	2	0	22.58	0.21	24.16	0.2
69.027732658	5	1	0	13.02	0.51	17.72	0.32
80.033688217	5	2	0	2.68	0.38	7.8	0.31
93.038960409	5	2	0	4.65	0.45	11.96	0.27
108.042568876	5	1	0	8.39	0.33	2.21	0.36
123.045827224	5	1	0	11.7	0.22	1.17	0.23
134.049008625	5	2	0	7.48	0.29	9.63	0.28
147.052389441	5	2	0	13.76	0.34	7.99	0.54
162.054796987	5	2	0	21.48	0.31	10.89	0.59
173.057634756	5	2	0	0.6	0.54	28	0.3
186.060261435	5	1	0	21.62	0.45	32.14	0.31
201.063720062	5	1	0	32.35	0.29	0.59	0.47
218.071861987	5	2	1	13.76	0.34	7.99	0.54
233.077587223	5	1	1	32.71	0.2	13.59	0.43
246.083223233	5	2	1	28.31	0.2	19.5	0.49
261.086368015	5	1	1	16.25	0.42	9.54	0.51
274.089938468	5	2	1	5.48	0.43	35.03	0.22
287.093165534	5	1	1	34.67	0.38	21.95	0.52
302.097121242	5	2	1	14.75	0.3	12.44	0.43
313.103644641	5	2	1	17.94	0.39	39.28	0.21
328.108128057	5	2	1	22.58	0.21	24.16	0.2
339.113178698	5	2	1	39.89	0.27	30.59	0.36
352.119776258	5	2	1	12.78	0.23	10.45	0.52
367.124242929	5	1	1	13.02	0.51	17.72	0.32
380.126418002	5	1	1	21.57	0.56	33.31	0.39
391.129889854	5	1	1	25.53	0.35	3.07	0.55
402.13427514	5	1	1	10.85	0.51	14.86	0.2
