onset	duration	choice	agent	money_left	probability_left	money_right	probability_right
17.007334319	5	1	0	37.71	0.24	9.1	0.41
30.012659631	5	1	0	10.85	0.51	14.86	0.2
43.01771898	5	2	0	3.58	0.51	8.83	0.28
54.022393312	5	1	0	37.99	0.35	25.12	0.52
67.027465356	5	1	0	22.34	0.23	33.51	0.2
80.032193762	5	1	0	35.16	0.25	20.29	0.3
95.036026469	5	2	0	36.93	0.32	26.58	0.46
106.041220213	5	1	0	35.18	0.22	15.41	0.47
117.044333379	5	1	0	18.34	0.33	29.87	0.24
128.051895941	5	1	0	29.32	0.49	23.92	0.55
143.05751451	5	2	0	31.44	0.36	29.43	0.39
158.063300808	5	2	0	21.23	0.35	31.53	0.29
169.068291785	5	1	0	32.93	0.37	12.91	0.53
184.071871981	5	2	0	9.17	0.55	21.94	0.39
197.076945596	5	2	0	15.05	0.21	9.46	0.37
218.081185201	5	2	1	17.94	0.34	8.69	0.45
231.085108197	5	2	1	13.67	0.24	9.76	0.35
246.089699	5	2	1	6.63	0.44	31.56	0.31
261.093694726	5	1	1	19.24	0.42	37.94	0.24
272.097744435	5	1	1	32.93	0.37	12.91	0.53
283.100125975	5	1	1	22.57	0.43	23.42	0.41
296.104519804	5	1	1	5.27	0.36	5.29	0.21
311.107042361	5	1	1	21.62	0.45	32.14	0.31
324.114532944	5	1	1	29.81	0.55	34.83	0.44
335.118716261	5	2	1	21.48	0.31	10.89	0.59
346.124651516	5	2	1	24.14	0.31	34.92	0.24
359.128675135	5	2	1	17.17	0.52	37.69	0.43
372.132541595	5	1	1	35.78	0.59	0.76	0.6
387.137861383	5	1	1	37.71	0.24	9.1	0.41
402.142834072	5	1	1	38.46	0.45	1.61	0.57
