onset	duration	choice	agent	money_left	probability_left	money_right	probability_right
17.007530401	5	2	0	18.07	0.54	22.83	0.49
28.012095696	5	1	0	1.34	0.58	0.67	0.6
41.016336957	5	1	0	29.22	0.45	17.57	0.56
54.020235187	5	1	0	0.97	0.49	1.4	0.33
65.026407268	5	2	0	19.43	0.3	31.25	0.24
80.030101069	5	1	0	31.58	0.35	12.71	0.59
91.035569246	5	2	0	4.72	0.51	36.3	0.34
106.038559773	5	1	0	27.18	0.39	39.47	0.25
121.041903845	5	1	0	17.85	0.37	24.65	0.23
134.044085273	5	2	0	22.49	0.47	21.81	0.55
145.048173421	5	1	0	15.06	0.58	26.9	0.21
160.053067491	5	1	0	7.07	0.31	5.94	0.34
171.055449218	5	2	0	15.81	0.47	23.89	0.35
186.058528195	5	2	0	30.08	0.27	26.81	0.39
199.061122598	5	2	0	33.29	0.4	32.41	0.42
218.069051735	5	1	1	34.8	0.39	25.04	0.43
231.075293937	5	1	1	38.93	0.23	31.11	0.26
242.07720812	5	1	1	28.32	0.25	11.46	0.27
253.08214724	5	2	1	25.29	0.46	17.26	0.6
268.08586562	5	1	1	26.97	0.45	18.05	0.56
283.090163241	5	1	1	27.78	0.32	4.39	0.56
296.094181085	5	2	1	30.08	0.27	26.81	0.39
307.097951854	5	1	1	24.41	0.36	11.04	0.57
318.100454479	5	2	1	16.64	0.59	39.44	0.31
331.106711936	5	1	1	34.63	0.45	8.1	0.54
346.110688185	5	2	1	15.62	0.38	18.59	0.36
359.114765756	5	2	1	15.06	0.58	26.9	0.21
372.117258735	5	1	1	33.66	0.38	23.33	0.54
387.120407668	5	2	1	19.43	0.3	31.25	0.24
398.126639536	5	1	1	31.02	0.23	17.12	0.5
