onset	duration	choice	agent	money_left	probability_left	money_right	probability_right
17.00796597	5	1	0	14.13	0.47	0.75	0.53
28.010962917	5	1	0	18.28	0.6	30.67	0.3
41.014168847	5	1	0	28.32	0.25	11.46	0.27
54.016922308	5	1	0	38.79	0.37	26.17	0.46
65.023028763	5	1	0	32.58	0.21	18.48	0.46
80.026400636	5	2	0	17.75	0.51	27.4	0.38
93.029004893	5	2	0	17.12	0.33	20.48	0.29
108.032779486	5	1	0	13.9	0.23	8.86	0.35
119.035586509	5	2	0	28.21	0.37	32.92	0.36
134.039509772	5	2	0	6.67	0.58	22.24	0.43
147.042647655	5	2	0	14.41	0.26	26.72	0.21
160.047577489	5	2	0	18.54	0.36	35.05	0.28
171.052101278	5	1	0	28.72	0.39	13.05	0.6
196.05934035	5	2	0	10.82	0.57	28.31	0.29
211.064678251	5	1	0	30.66	0.2	17.16	0.32
228.072303608	5	1	1	22.01	0.39	9.32	0.41
243.075851617	5	2	1	17.75	0.51	27.4	0.38
254.079875135	5	1	1	4.71	0.31	5.58	0.27
265.086799612	5	2	1	9.35	0.29	4.88	0.6
278.09273073	5	2	1	4.86	0.37	20.7	0.32
293.096042477	5	1	1	29.22	0.45	17.57	0.56
306.099150717	5	2	1	25.41	0.25	9.94	0.48
321.103980151	5	1	1	14.13	0.47	0.75	0.53
334.108300451	5	1	1	23.28	0.22	7.53	0.4
347.115564809	5	2	1	14.02	0.42	13.26	0.52
362.122246429	5	2	1	6.89	0.55	21.5	0.24
373.124528794	5	2	1	3.28	0.56	24.58	0.26
388.127383571	5	2	1	10.82	0.57	28.31	0.29
401.129811006	5	2	1	21.63	0.33	17.52	0.44
412.133492142	5	2	1	7.07	0.31	5.94	0.34
