onset	duration	choice	agent	money_left	probability_left	money_right	probability_right
17.008176696	5	1	0	17.94	0.34	8.69	0.45
30.010942029	5	2	0	30.73	0.3	28.08	0.47
41.017269259	5	2	0	6.29	0.6	10.46	0.46
54.02230166	5	1	0	29.6	0.25	16.63	0.41
69.02826933	5	1	0	36.6	0.21	10.86	0.54
82.030822392	5	1	0	21.27	0.48	29.19	0.32
93.036601341	5	1	0	10.85	0.51	14.86	0.2
106.039945987	5	1	0	36.63	0.37	18.52	0.48
121.045785578	5	1	0	28.39	0.27	15.02	0.59
136.05047517	5	2	0	1.36	0.38	22.59	0.35
147.053011689	5	1	0	35.16	0.25	20.29	0.3
162.057660118	5	1	0	8.47	0.22	4.61	0.32
175.062061541	5	2	0	19.24	0.42	37.94	0.24
186.064648725	5	2	0	7.51	0.59	16.15	0.23
197.068875105	5	2	0	2.94	0.38	12.93	0.25
218.07422983	5	2	1	29.27	0.25	24.1	0.34
233.080034378	5	2	1	27.05	0.34	23.06	0.47
246.082928862	5	2	1	4.74	0.53	22.31	0.51
259.08613695	5	1	1	21.57	0.56	33.31	0.39
274.090860079	5	2	1	21.23	0.35	31.53	0.29
285.093041692	5	1	1	37.04	0.24	8.91	0.55
308.09982071	5	1	1	36.6	0.21	10.86	0.54
319.101903112	5	2	1	6.29	0.6	10.46	0.46
330.104493517	5	2	1	14.75	0.3	12.44	0.43
345.107845302	5	1	1	33.4	0.44	35.93	0.4
356.113027703	5	2	1	22.34	0.23	33.51	0.2
371.116532025	5	1	1	10.85	0.51	14.86	0.2
382.121116409	5	1	1	37.81	0.42	27.18	0.53
395.123539725	5	2	1	16.35	0.52	35.99	0.4
410.127571391	5	1	1	39.03	0.4	12.21	0.44
