onset	duration	choice	agent	money_left	probability_left	money_right	probability_right
17.006295701	5	1	0	20.45	0.28	12.6	0.53
32.010845869	5	2	0	4.65	0.45	11.96	0.27
45.015870104	5	1	0	33.4	0.44	35.93	0.4
60.019506196	5	2	0	22.34	0.23	33.51	0.2
75.023754222	5	1	0	10.56	0.29	2.14	0.35
88.026595397	5	2	0	24.07	0.57	29.84	0.48
103.028365618	5	1	0	15.48	0.55	14.09	0.57
118.032834568	5	1	0	22.1	0.53	22.78	0.27
129.035120745	5	2	0	21.23	0.35	31.53	0.29
142.040752252	5	1	0	15.05	0.21	9.46	0.37
155.04475218	5	1	0	16.35	0.52	35.99	0.4
168.050542361	5	1	0	21.57	0.56	33.31	0.39
179.054203049	5	2	0	29.81	0.55	34.83	0.44
190.059764163	5	2	0	13.76	0.34	7.99	0.54
201.064462216	5	1	0	34.54	0.54	35.48	0.34
218.071062669	5	2	1	4.2	0.44	6.18	0.41
233.073463009	5	2	1	30.73	0.3	28.08	0.47
246.077528183	5	1	1	38.98	0.36	4.45	0.56
257.082887066	5	1	1	29.28	0.4	18.67	0.46
272.087997908	5	1	1	5.27	0.36	5.29	0.21
285.091268681	5	2	1	34.05	0.27	23.14	0.44
296.096115288	5	2	1	0.6	0.54	28	0.3
307.099157985	5	2	1	21.48	0.31	10.89	0.59
322.105775347	5	1	1	32.35	0.29	0.59	0.47
333.109344167	5	2	1	30.89	0.35	30.39	0.45
348.115987905	5	2	1	22.58	0.21	24.16	0.2
359.118783211	5	1	1	7.63	0.58	11.89	0.38
372.122979889	5	1	1	10.55	0.33	2.76	0.47
385.127110723	5	2	1	24.14	0.31	34.92	0.24
400.131115026	5	2	1	22.57	0.43	23.42	0.41
