onset	duration	choice	agent	money_left	probability_left	money_right	probability_right
17.004835347	5	1	1	38.69	0.41	33.01	0.46
32.008464726	5	1	1	19.96	0.37	30.6	0.2
45.014084701	5	2	1	17.17	0.52	37.69	0.43
70.025689046	5	1	1	10.08	0.43	10.35	0.41
81.030627659	5	2	1	31.44	0.36	29.43	0.39
96.03642757	5	1	1	11.58	0.26	3.73	0.52
109.038402456	5	2	1	16.38	0.49	34.15	0.27
122.04406028	5	1	1	12.47	0.48	13.3	0.42
133.047151028	5	1	1	14.76	0.31	7.88	0.32
148.05100698	5	2	1	26.81	0.3	22.92	0.34
159.058233592	5	2	1	12.78	0.23	10.45	0.52
170.062063165	5	1	1	34.26	0.28	15.91	0.54
181.067104176	5	2	1	1.36	0.38	22.59	0.35
196.069277559	5	2	1	2.68	0.38	7.8	0.31
209.073206738	5	1	1	35.16	0.25	20.29	0.3
228.077436979	5	1	0	11.7	0.22	1.17	0.23
243.081581024	5	1	0	26.64	0.47	35.09	0.39
256.083952088	5	2	0	7.39	0.57	17.63	0.5
271.086027959	5	1	0	14.16	0.34	8.36	0.54
286.090649966	5	1	0	26.03	0.21	0.11	0.46
299.09315743	5	2	0	21.06	0.25	13.56	0.49
310.099049289	5	1	0	38.15	0.51	28.85	0.58
323.10273395	5	2	0	37.81	0.42	27.18	0.53
336.108009959	5	2	0	20.23	0.32	34.01	0.22
347.111320744	5	1	0	14.12	0.56	6.42	0.58
360.11587796	5	2	0	17.47	0.5	33.16	0.26
375.121831722	5	1	0	15.33	0.22	2.55	0.39
386.125450202	5	2	0	17.94	0.39	39.28	0.21
401.129579388	5	2	0	26.81	0.3	22.92	0.34
412.136066363	5	2	0	14.75	0.3	12.44	0.43
