onset	duration	choice	agent	money_left	probability_left	money_right	probability_right
17.01003916	5	2	0	36.16	0.46	33.9	0.6
32.016244689	5	1	0	17.45	0.47	16.19	0.5
43.020584684	5	1	0	18.02	0.5	15.13	0.56
58.02296069	5	2	0	17.49	0.4	30.96	0.24
73.025908478	5	2	0	30.03	0.44	36.35	0.4
84.029816401	5	1	0	10.96	0.5	2.8	0.58
97.034347269	5	2	0	10.66	0.24	4.82	0.48
112.039947887	5	1	0	7.87	0.2	3.61	0.44
125.044747324	5	2	0	13.61	0.46	16.58	0.43
136.048462209	5	2	0	3.03	0.6	29.64	0.58
147.052586975	5	1	0	29.45	0.42	12.34	0.52
160.056284769	5	2	0	9.52	0.57	28.68	0.32
173.058927407	5	1	0	24.46	0.26	1	0.36
186.061454002	5	1	0	14.03	0.43	17.35	0.32
197.06581678	5	1	0	36.69	0.29	23.12	0.31
218.072273199	5	1	1	17.58	0.55	29.04	0.28
231.077023187	5	2	1	31.97	0.4	34.52	0.36
242.081587605	5	2	1	1.53	0.58	30.05	0.4
257.085000124	5	1	1	37.23	0.39	29.61	0.54
270.089544864	5	2	1	3.03	0.6	29.64	0.58
283.092253063	5	2	1	32.35	0.56	35.18	0.53
298.098096277	5	2	1	24.38	0.27	28.62	0.25
313.102658617	5	2	1	7.87	0.2	3.61	0.44
324.108080834	5	1	1	30.78	0.23	14.88	0.37
339.113971691	5	1	1	12.52	0.29	4.12	0.55
350.119068482	5	1	1	32.09	0.26	19.39	0.35
363.122624162	5	1	1	28.48	0.35	0.74	0.56
374.126811444	5	1	1	36.69	0.29	23.12	0.31
385.1303246	5	2	1	38.63	0.42	33.96	0.55
398.134603921	5	2	1	16.29	0.27	37.27	0.21
