onset	duration	choice	agent	money_left	probability_left	money_right	probability_right
17.008137919	5	1	1	36.63	0.37	18.52	0.48
28.014520846	5	1	1	37.99	0.35	25.12	0.52
43.019126537	5	1	1	25.53	0.35	3.07	0.55
56.022686878	5	2	1	7.85	0.52	6.8	0.57
71.027184407	5	1	1	21.83	0.24	5.77	0.48
82.031823287	5	2	1	18.89	0.21	16.93	0.32
97.036846961	5	2	1	4.9	0.39	14.47	0.31
110.040591388	5	1	1	28.2	0.26	9.97	0.52
121.04482644	5	1	1	10.55	0.33	2.76	0.47
132.04877141	5	1	1	12.16	0.33	18.26	0.24
147.053846699	5	1	1	38.15	0.51	28.85	0.58
162.058129361	5	1	1	4.26	0.5	7.12	0.37
175.06323862	5	1	1	10.85	0.51	14.86	0.2
188.066301864	5	1	1	36.6	0.21	10.86	0.54
201.070815812	5	1	1	12.83	0.53	14.86	0.49
218.079523355	5	1	0	21.82	0.6	34.97	0.45
231.082640097	5	1	0	16.71	0.43	22.97	0.3
242.087378304	5	1	0	37.99	0.35	25.12	0.52
253.092752597	5	1	0	34.54	0.54	35.48	0.34
268.098859228	5	1	0	22.1	0.53	22.78	0.27
283.101805944	5	2	0	28.31	0.2	19.5	0.49
294.1090442	5	1	0	14.45	0.49	19.5	0.31
305.11113922	5	2	0	32.99	0.46	29.89	0.57
316.116556221	5	2	0	7.85	0.52	6.8	0.57
331.119663481	5	1	0	24.84	0.56	36.59	0.43
346.12328612	5	1	0	20.05	0.45	32.76	0.28
359.125201523	5	1	0	21.57	0.56	33.31	0.39
372.128306729	5	1	0	6.86	0.49	3.53	0.59
385.132422718	5	1	0	25.66	0.4	35.98	0.24
400.136862174	5	1	0	13.26	0.29	17.34	0.2
