onset	duration	choice	agent	money_left	probability_left	money_right	probability_right
17.006442669	5	1	0	7.59	0.42	8.04	0.24
28.008743781	5	2	0	5.39	0.46	36.81	0.43
41.01125005	5	1	0	32.31	0.32	16.45	0.45
52.015871154	5	1	0	31.9	0.55	0.25	0.58
65.021750551	5	1	0	29.11	0.54	15.6	0.58
76.027203125	5	1	0	35.28	0.29	36.51	0.24
91.029699012	5	2	0	21.05	0.57	26.81	0.41
106.032984981	5	1	0	8.24	0.53	23.91	0.2
121.037434137	5	1	0	21.49	0.4	21.57	0.36
134.041741242	5	2	0	8.22	0.6	19.54	0.5
147.046665028	5	1	0	29.71	0.49	25.98	0.59
158.050902132	5	1	0	35.51	0.57	23.53	0.6
173.05409148	5	1	0	15.77	0.58	20.39	0.55
186.057767434	5	2	0	24.33	0.42	35.96	0.24
197.064136155	5	1	0	14.62	0.36	2.55	0.38
218.074780745	5	1	1	35.51	0.57	23.53	0.6
229.079804093	5	1	1	37.74	0.23	21.41	0.37
240.083898511	5	1	1	35.28	0.29	36.51	0.24
255.088271695	5	1	1	29.71	0.49	25.98	0.59
268.094907016	5	1	1	28.19	0.31	10.74	0.55
283.10043645	5	1	1	26.18	0.26	15.22	0.51
298.103854829	5	2	1	11.01	0.59	20.11	0.48
313.10627531	5	1	1	2.39	0.49	2.63	0.29
326.110867719	5	1	1	15.38	0.47	28.42	0.28
341.113744883	5	2	1	0.34	0.49	12.74	0.28
352.117967571	5	1	1	7.59	0.42	8.04	0.24
363.121339556	5	2	1	2.14	0.36	14.97	0.31
376.127048982	5	2	1	7.42	0.29	6.77	0.44
387.131539205	5	1	1	32.89	0.47	3.53	0.53
400.135362295	5	2	1	21.34	0.22	10.59	0.52
