onset	duration	choice	agent	money_left	probability_left	money_right	probability_right
17.005140523	5	1	0	10.82	0.26	13.14	0.22
32.008656439	5	2	0	4.97	0.34	4.57	0.44
45.013581385	5	1	0	25.35	0.23	7.14	0.45
56.019185743	5	2	0	15.38	0.47	28.42	0.28
71.022121811	5	2	0	36.78	0.43	34.11	0.53
86.027787935	5	1	0	31.98	0.51	37.85	0.3
97.031461351	5	1	0	30.08	0.39	33.27	0.26
110.033912179	5	1	0	36.64	0.33	27.06	0.5
123.040636448	5	1	0	23.46	0.51	11.61	0.52
136.045560913	5	1	0	36.76	0.21	8.67	0.29
161.050836261	5	2	0	9.65	0.42	14.19	0.27
172.05708262	5	2	0	8.24	0.4	7.28	0.55
187.059118908	5	2	0	32.61	0.52	35.75	0.41
198.063638362	5	2	0	4.85	0.5	11.1	0.32
209.068315074	5	1	0	29.43	0.45	26.7	0.55
228.073962752	5	1	1	31.9	0.55	0.25	0.58
243.081601397	5	2	1	10.82	0.26	13.14	0.22
258.086401079	5	1	1	20.41	0.37	17.18	0.48
271.09051111	5	2	1	20.33	0.54	30.93	0.23
286.095531694	5	1	1	32.11	0.34	2.27	0.53
297.104224679	5	2	1	36.78	0.43	34.11	0.53
310.110598735	5	1	1	10.46	0.45	11.96	0.32
321.115053444	5	2	1	12.7	0.31	24.71	0.2
336.118733844	5	2	1	18.34	0.26	9.66	0.47
347.123515848	5	1	1	32.31	0.32	16.45	0.45
362.126743385	5	1	1	36.76	0.21	8.67	0.29
373.130904485	5	1	1	27.61	0.3	22.23	0.43
386.135463376	5	2	1	5.71	0.44	23.31	0.25
397.139911084	5	1	1	37.38	0.48	33.86	0.55
410.144627737	5	2	1	21.59	0.55	39.94	0.35
