onset	duration	choice	agent	money_left	probability_left	money_right	probability_right
17.007068308	5	2	0	13.5	0.41	38.02	0.23
30.010249528	5	2	0	30.73	0.3	28.08	0.47
43.014666207	5	2	0	26.95	0.21	20.45	0.28
54.017231199	5	1	0	29.55	0.47	35.18	0.37
67.021321278	5	1	0	28.07	0.22	13.93	0.38
80.024684867	5	1	0	16.38	0.49	34.15	0.27
95.028738744	5	1	0	21.27	0.48	29.19	0.32
106.033384835	5	1	0	20.85	0.35	24.97	0.29
117.037069773	5	1	0	8.39	0.33	2.21	0.36
128.04410217	5	1	0	10.07	0.3	2.62	0.36
143.048942121	5	2	0	2.98	0.34	2.52	0.55
158.051236506	5	1	0	16.25	0.42	9.54	0.51
169.053836315	5	2	0	1.36	0.38	22.59	0.35
184.058896263	5	1	0	36.6	0.21	10.86	0.54
197.063431117	5	1	0	5.27	0.36	5.29	0.21
218.069706313	5	1	1	16.33	0.58	24.88	0.2
231.074120587	5	1	1	13.65	0.49	14.16	0.46
246.077152495	5	1	1	32.93	0.37	12.91	0.53
261.080266398	5	2	1	35.33	0.42	32	0.52
272.084137448	5	2	1	1.36	0.38	22.59	0.35
283.090001686	5	1	1	22.57	0.43	23.42	0.41
296.092746254	5	1	1	33.37	0.33	37.7	0.26
311.097588087	5	1	1	27.88	0.36	25.81	0.41
324.100317152	5	2	1	1.73	0.44	8.83	0.29
335.103405932	5	1	1	17.86	0.22	9.93	0.54
346.106775131	5	2	1	25.95	0.54	32.94	0.36
359.10971205	5	2	1	0.6	0.54	28	0.3
372.113460764	5	1	1	35.78	0.59	0.76	0.6
387.115897505	5	2	1	13.5	0.41	38.02	0.23
402.121278264	5	1	1	38.46	0.45	1.61	0.57
