onset	duration	choice	agent	money_left	probability_left	money_right	probability_right
17.007930157	5	1	0	37.41	0.34	21.17	0.59
32.013249607	5	1	0	26.81	0.3	22.92	0.34
45.016343301	5	1	0	36.6	0.21	10.86	0.54
56.020131273	5	2	0	8.84	0.32	5.61	0.57
69.022912767	5	1	0	14.89	0.48	18.6	0.43
80.026779734	5	1	0	13.32	0.25	3.39	0.44
93.03126232	5	1	0	23.71	0.53	26.39	0.41
108.037134036	5	2	0	19.24	0.42	37.94	0.24
123.039014605	5	2	0	11.48	0.25	11.01	0.57
134.041793096	5	1	0	14.43	0.43	16.88	0.32
147.047117367	5	1	0	20.49	0.36	24.27	0.28
162.0508958	5	2	0	13.24	0.44	14.93	0.39
173.056874367	5	2	0	4.74	0.53	22.31	0.51
186.06558242	5	2	0	2.72	0.27	1.03	0.58
201.067904351	5	1	0	32.35	0.29	0.59	0.47
218.072917104	5	1	1	20.49	0.36	24.27	0.28
233.074385029	5	1	1	6.15	0.54	7	0.34
246.080060056	5	2	1	9.17	0.55	21.94	0.39
261.084402996	5	1	1	15.33	0.22	2.55	0.39
274.087028493	5	1	1	37.01	0.28	11.75	0.45
287.091444024	5	1	1	14.76	0.31	7.88	0.32
302.096113113	5	1	1	8.04	0.54	5.99	0.56
313.102029573	5	1	1	37.99	0.35	25.12	0.52
328.107139105	5	2	1	8.84	0.32	5.61	0.57
339.114656647	5	2	1	18.95	0.41	13.83	0.59
352.117940592	5	1	1	13.19	0.3	1	0.55
367.120457022	5	1	1	14.89	0.48	18.6	0.43
380.124843761	5	1	1	13.31	0.47	17.68	0.38
391.12967387	5	2	1	6.63	0.44	31.56	0.31
402.132875032	5	2	1	14.03	0.57	36.78	0.25
