onset	duration	choice	agent	money_left	probability_left	money_right	probability_right
17.01008394	5	1	0	13.19	0.3	1	0.55
32.014960836	5	2	0	25.66	0.4	35.98	0.24
45.018112873	5	1	0	26.03	0.21	0.11	0.46
60.023671826	5	2	0	22.57	0.43	23.42	0.41
75.026480168	5	1	0	37.71	0.24	9.1	0.41
88.032445826	5	1	0	14.76	0.31	7.88	0.32
99.037298761	5	2	0	4.9	0.39	14.47	0.31
112.041425081	5	1	0	7.23	0.6	7.29	0.41
125.047067934	5	1	0	3.86	0.47	1.43	0.58
136.051131949	5	2	0	8.01	0.53	30.19	0.26
149.056265498	5	1	0	33.37	0.33	37.7	0.26
164.061907939	5	1	0	26.66	0.27	9.93	0.55
175.066846163	5	1	0	6.15	0.54	7	0.34
190.070482132	5	1	0	10.37	0.26	11.96	0.21
201.074780995	5	1	0	29.6	0.25	16.63	0.41
218.082161749	5	1	1	34.72	0.2	20.87	0.4
233.085295218	5	1	1	11.7	0.22	1.17	0.23
246.08872438	5	2	1	1.36	0.38	22.59	0.35
261.092932358	5	1	1	13.65	0.49	14.16	0.46
272.096003696	5	1	1	19.39	0.41	20.9	0.36
287.098916757	5	1	1	38.48	0.21	21.13	0.5
300.102094677	5	2	1	7.48	0.29	9.63	0.28
313.105362982	5	2	1	26.81	0.3	22.92	0.34
324.112127183	5	2	1	19.24	0.42	37.94	0.24
339.117421781	5	1	1	10.37	0.26	11.96	0.21
350.12149897	5	1	1	36.6	0.21	10.86	0.54
361.126287126	5	1	1	21.27	0.48	29.19	0.32
372.130898977	5	2	1	0.6	0.54	28	0.3
387.134989406	5	1	1	16.14	0.6	18.13	0.4
400.139905502	5	2	1	21.77	0.54	35.27	0.22
