onset	duration	choice	agent	money_left	probability_left	money_right	probability_right
17.006068085	5	1	1	26.03	0.21	0.11	0.46
28.012185111	5	1	1	6.89	0.57	12.62	0.49
43.01412795	5	2	1	17.17	0.52	37.69	0.43
56.017950369	5	1	1	22.57	0.43	23.42	0.41
71.023211721	5	1	1	15.33	0.22	2.55	0.39
82.026589857	5	2	1	29.32	0.49	23.92	0.55
97.029227255	5	1	1	14.76	0.31	7.88	0.32
110.036716756	5	2	1	9.17	0.55	21.94	0.39
121.041515081	5	2	1	6.95	0.28	12.22	0.27
132.046091961	5	2	1	17.4	0.31	12.61	0.45
147.049725098	5	1	1	14.12	0.56	6.42	0.58
162.053057017	5	2	1	18.32	0.48	33.17	0.28
175.057110085	5	2	1	14.75	0.3	12.44	0.43
188.063738577	5	1	1	9.14	0.39	0.72	0.57
201.06573676	5	1	1	12.47	0.48	13.3	0.42
218.073492686	5	1	0	32.93	0.37	12.91	0.53
231.076965895	5	2	0	24.14	0.31	34.92	0.24
242.083197107	5	2	0	6.89	0.57	12.62	0.49
253.087010474	5	1	0	28.31	0.2	19.5	0.49
268.091239541	5	2	0	3.24	0.29	21.19	0.23
283.096535606	5	1	0	27.05	0.34	23.06	0.47
294.100903967	5	2	0	19.24	0.42	37.94	0.24
305.104667201	5	1	0	21.81	0.52	18.15	0.56
316.108828067	5	2	0	22.57	0.43	23.42	0.41
331.113548808	5	2	0	14.16	0.46	35.86	0.31
346.115904369	5	2	0	15.78	0.3	31.08	0.22
359.122323029	5	2	0	13.79	0.59	27.73	0.25
372.12737076	5	1	0	37.03	0.41	33.81	0.42
385.129396969	5	2	0	12.36	0.49	35.15	0.2
400.133480161	5	2	0	22.58	0.21	24.16	0.2
