onset	duration	choice	agent	money_left	probability_left	money_right	probability_right
17.006332263	5	2	0	12.78	0.23	10.45	0.52
32.009206564	5	2	0	18.34	0.33	29.87	0.24
45.017314868	5	1	0	36.6	0.21	10.86	0.54
60.022480847	5	2	0	29.6	0.25	16.63	0.41
71.026677525	5	2	0	16.38	0.49	34.15	0.27
86.029739393	5	1	0	6.68	0.58	7.51	0.39
97.031724711	5	2	0	17.47	0.5	33.16	0.26
112.036523338	5	1	0	38.98	0.36	4.45	0.56
127.041129747	5	1	0	25.53	0.35	3.07	0.55
140.045549323	5	2	0	7.48	0.29	9.63	0.28
153.051639413	5	2	0	31.63	0.33	27.28	0.45
166.055885353	5	2	0	9.17	0.55	21.94	0.39
177.062019285	5	1	0	38.46	0.45	1.61	0.57
188.066452123	5	1	0	8.47	0.22	4.61	0.32
201.072066596	5	1	0	29.81	0.55	34.83	0.44
218.080315612	5	1	1	24.14	0.31	34.92	0.24
229.085064888	5	1	1	35.62	0.4	7.49	0.47
240.087370637	5	2	1	34.26	0.28	15.91	0.54
255.091055718	5	1	1	13.3	0.6	13.9	0.35
268.093403132	5	2	1	38.69	0.41	33.01	0.46
279.098095373	5	1	1	32.93	0.37	12.91	0.53
290.103190749	5	1	1	6.68	0.58	7.51	0.39
305.10931773	5	2	1	37.52	0.25	25.21	0.36
320.114416247	5	2	1	15.78	0.3	31.08	0.22
333.117868998	5	2	1	21.81	0.52	18.15	0.56
348.123175071	5	1	1	13.67	0.24	9.76	0.35
361.130403962	5	1	1	29.81	0.55	34.83	0.44
376.13349944	5	1	1	37.71	0.24	9.1	0.41
387.136860838	5	2	1	28.39	0.27	15.02	0.59
400.141775406	5	1	1	13.65	0.49	14.16	0.46
