onset	duration	choice	agent	money_left	probability_left	money_right	probability_right
17.004778086	5	1	0	36.85	0.27	8.6	0.3
32.009249181	5	1	0	24.38	0.46	27.14	0.27
45.015621027	5	2	0	26.63	0.48	34.97	0.38
58.021505762	5	1	0	10.66	0.59	14.5	0.34
73.027246524	5	2	0	6.62	0.38	32.44	0.22
88.031302865	5	1	0	30.6	0.29	15.34	0.44
99.035134929	5	2	0	18.4	0.45	39.23	0.33
112.037785107	5	2	0	14.44	0.39	23.13	0.25
125.043701229	5	1	0	6.23	0.2	0.87	0.46
136.045694618	5	1	0	29.79	0.48	17.83	0.6
151.049270616	5	1	0	3.26	0.26	0.5	0.35
162.052153266	5	2	0	22.77	0.34	37.12	0.22
175.05608897	5	1	0	28.24	0.51	23.77	0.52
186.059617877	5	1	0	39.7	0.32	33.18	0.35
197.063410043	5	2	0	2.04	0.58	16.56	0.49
218.070517756	5	1	1	10.44	0.53	14.65	0.34
229.0756067	5	1	1	11.36	0.36	4.35	0.45
244.079894892	5	1	1	36.57	0.21	10.41	0.41
255.084462373	5	1	1	27.2	0.57	38.37	0.38
266.088174378	5	2	1	11.23	0.46	22.88	0.28
281.091419355	5	1	1	6.23	0.2	0.87	0.46
294.094851018	5	1	1	12.8	0.5	24.59	0.28
307.098758851	5	1	1	19.29	0.47	36.28	0.31
318.102758113	5	2	1	36.3	0.22	30.09	0.56
331.106662934	5	2	1	11.46	0.55	26.04	0.21
342.112497849	5	1	1	24.38	0.46	27.14	0.27
357.11671724	5	1	1	30.68	0.43	21.59	0.46
372.122398849	5	2	1	18.42	0.6	34.53	0.51
387.125330932	5	1	1	30.82	0.37	11.28	0.49
400.127627457	5	2	1	24.63	0.4	33.07	0.27
