onset	duration	choice	agent	money_left	probability_left	money_right	probability_right
17.007614739	5	1	0	24.54	0.44	10.14	0.54
28.011999781	5	2	0	5.15	0.55	10.84	0.41
41.01637957	5	2	0	30.51	0.45	31.04	0.4
56.019336409	5	1	0	29.06	0.33	28.65	0.41
67.02259741	5	2	0	9.92	0.4	25.96	0.3
78.027392585	5	2	0	15.49	0.45	28.89	0.43
93.032622428	5	1	0	38.87	0.45	29.47	0.57
108.037600972	5	1	0	31.69	0.35	27.43	0.39
121.040955304	5	1	0	9.72	0.31	8.71	0.59
132.043611343	5	2	0	27.2	0.57	38.37	0.38
145.045872978	5	1	0	11.2	0.2	4.39	0.54
160.048850152	5	2	0	30.9	0.51	38.24	0.37
173.053991251	5	1	0	27.22	0.32	2.73	0.52
188.058456042	5	1	0	33.93	0.24	7.27	0.5
201.062724169	5	2	0	11.23	0.46	22.88	0.28
218.068459736	5	1	1	30.15	0.28	2.04	0.36
229.072360883	5	1	1	16.71	0.39	7.75	0.42
242.078679627	5	1	1	5.6	0.44	7.21	0.41
255.082358444	5	2	1	9.92	0.4	25.96	0.3
270.087210261	5	1	1	39.7	0.32	33.18	0.35
285.090238088	5	1	1	24.6	0.26	17.45	0.4
296.095146975	5	1	1	30.51	0.45	31.04	0.4
309.100100621	5	2	1	1.96	0.58	4.29	0.49
320.103369171	5	2	1	7.99	0.56	28.22	0.36
333.106545905	5	2	1	29.06	0.33	28.65	0.41
344.110821367	5	1	1	30.6	0.29	15.34	0.44
357.117239628	5	1	1	35.2	0.33	21.18	0.51
368.121278609	5	2	1	9.72	0.31	8.71	0.59
383.124657407	5	1	1	30.91	0.5	36.67	0.45
398.130845605	5	2	1	18.4	0.45	39.23	0.33
