onset	duration	choice	agent	money_left	probability_left	money_right	probability_right
17.006173079	5	2	1	15.19	0.32	14.48	0.47
28.010939226	5	2	1	27.38	0.31	15.34	0.57
41.01233426	5	1	1	19.24	0.51	31.24	0.33
52.017419352	5	1	1	32.3	0.34	31.73	0.35
67.022279477	5	1	1	20.91	0.46	30.17	0.31
80.026875853	5	1	1	15.16	0.48	32.07	0.26
95.032025706	5	1	1	28.93	0.48	6.86	0.59
110.034314912	5	2	1	1.16	0.3	18.99	0.23
125.036602088	5	1	1	37.28	0.38	18.7	0.49
136.041823982	5	2	1	13.58	0.49	18.02	0.42
149.046537984	5	1	1	20.46	0.52	31.98	0.37
160.050514572	5	2	1	27.96	0.3	13.1	0.55
171.056228294	5	2	1	5.41	0.4	35.74	0.21
186.059881547	5	1	1	9.44	0.45	11.88	0.2
199.064175411	5	2	1	28.44	0.21	25.07	0.29
218.06842282	5	2	0	6.45	0.29	11.92	0.27
229.071339706	5	2	0	11.64	0.57	19.61	0.35
242.076123051	5	1	0	2.6	0.33	0.76	0.59
257.081896971	5	2	0	11.77	0.3	29.96	0.28
272.086853394	5	1	0	38.82	0.45	39.66	0.23
285.092156755	5	1	0	20.42	0.5	22.25	0.27
296.094766206	5	2	0	4.72	0.53	39.92	0.37
309.099107253	5	1	0	22.4	0.43	16.71	0.5
324.103066196	5	1	0	32.3	0.34	31.73	0.35
335.107283089	5	2	0	2.27	0.3	36.34	0.23
348.113227222	5	1	0	29.98	0.25	11.16	0.42
361.115227328	5	2	0	1.16	0.3	18.99	0.23
372.121000712	5	2	0	23.79	0.27	20.01	0.54
387.12583806	5	1	0	6.05	0.28	3.86	0.5
402.129030034	5	2	0	6.61	0.47	14.3	0.26
