onset	duration	choice	agent	money_left	probability_left	money_right	probability_right
17.005832114	5	1	1	35.75	0.27	23.96	0.29
30.010030373	5	2	1	0.43	0.42	26.2	0.4
41.014177598	5	1	1	8.33	0.58	8.6	0.36
54.019041002	5	1	1	18.04	0.59	21.39	0.22
69.022355475	5	1	1	32.4	0.3	25.67	0.32
80.02872351	5	2	1	5.5	0.53	13.26	0.39
95.034358268	5	1	1	3.6	0.59	6.24	0.38
108.042155842	5	2	1	7.57	0.25	6.18	0.35
123.046859446	5	2	1	2.28	0.56	21.16	0.49
134.050981193	5	1	1	21.67	0.25	22.57	0.22
147.05700772	5	2	1	0.17	0.32	15.68	0.21
160.060622047	5	2	1	2.27	0.3	36.34	0.23
175.066387321	5	2	1	24.65	0.45	20.74	0.51
190.070352126	5	2	1	5.62	0.46	3.99	0.6
201.071328368	5	2	1	4.55	0.44	8.62	0.37
218.075456231	5	1	0	36.55	0.35	33.2	0.36
229.079548967	5	1	0	34.7	0.29	11.78	0.4
240.084545273	5	1	0	4.01	0.34	6.17	0.21
255.090567403	5	2	0	19.24	0.51	31.24	0.33
268.095866917	5	1	0	26.11	0.51	29.4	0.21
281.09788778	5	1	0	21.67	0.25	22.57	0.22
294.101424027	5	2	0	7.57	0.25	6.18	0.35
309.107336891	5	2	0	5.41	0.4	35.74	0.21
324.111842686	5	2	0	0.43	0.42	26.2	0.4
339.117054977	5	1	0	31.78	0.38	8.19	0.41
354.120575353	5	1	0	29.54	0.37	35.33	0.28
367.124571995	5	2	0	3.93	0.43	9.3	0.39
378.127150069	5	1	0	23.87	0.25	11.94	0.5
391.130612734	5	2	0	9.85	0.48	24.14	0.23
402.133974163	5	2	0	12.08	0.56	38.52	0.34
