onset	duration	choice	agent	money_left	probability_left	money_right	probability_right
17.011063819	5	1	0	32.7	0.23	33.84	0.22
30.014482121	5	1	0	32.4	0.3	25.67	0.32
43.017883901	5	2	0	27.38	0.31	15.34	0.57
58.023739455	5	1	0	37.69	0.51	39.43	0.32
71.028475219	5	1	0	18.04	0.59	21.39	0.22
82.033392954	5	1	0	27.05	0.42	30.48	0.38
97.03617274	5	2	0	13.5	0.27	19.96	0.23
108.040008863	5	2	0	0.17	0.32	15.68	0.21
123.045174214	5	1	0	35.75	0.37	33.65	0.4
138.048450798	5	1	0	10.56	0.59	16.04	0.24
151.052522491	5	1	0	28.36	0.22	2.29	0.55
162.061075637	5	2	0	15.16	0.48	32.07	0.26
173.065477091	5	1	0	28.58	0.43	25.63	0.44
188.071875826	5	1	0	25.58	0.22	0.15	0.41
199.074642542	5	1	0	25.57	0.41	26.69	0.39
218.079860341	5	1	1	4.01	0.34	6.17	0.21
233.084641269	5	2	1	33.45	0.2	14.16	0.41
246.087485974	5	2	1	3.04	0.31	34.89	0.28
259.093143334	5	1	1	13.51	0.45	18.25	0.33
270.09927103	5	2	1	11.77	0.3	29.96	0.28
283.103284977	5	2	1	23.79	0.27	20.01	0.54
298.104896381	5	2	1	19.94	0.48	34.11	0.32
313.110291338	5	1	1	26.1	0.6	38.51	0.51
324.11437145	5	2	1	18.07	0.27	21.58	0.26
339.117587569	5	2	1	30.83	0.53	39.77	0.44
352.120718873	5	1	1	26.11	0.51	29.4	0.21
363.123979082	5	1	1	2.6	0.33	0.76	0.59
374.126917178	5	2	1	4.72	0.53	39.92	0.37
387.13250347	5	1	1	18.59	0.59	26.16	0.33
398.137325329	5	1	1	32.7	0.23	33.84	0.22
