onset	duration	choice	agent	money_left	probability_left	money_right	probability_right
17.004126786	5	1	0	18.91	0.41	37	0.24
28.008080045	5	2	0	19.94	0.48	34.11	0.32
43.012537188	5	1	0	8.33	0.58	8.6	0.36
56.015008889	5	1	0	19.94	0.26	4.06	0.56
71.018790925	5	1	0	23.65	0.6	33.88	0.41
84.021511089	5	1	0	12.48	0.34	14.18	0.24
97.028178279	5	1	0	3.6	0.59	6.24	0.38
108.03346886	5	1	0	18.68	0.56	22.34	0.38
123.037915267	5	2	0	0.62	0.55	3.1	0.2
136.042222994	5	1	0	26.75	0.49	39.65	0.25
147.047523789	5	2	0	25.24	0.55	33.29	0.47
158.050199375	5	1	0	13.51	0.45	18.25	0.33
169.05614942	5	1	0	23.83	0.55	26.35	0.44
184.059374673	5	1	0	32.43	0.21	10.63	0.25
199.062004166	5	2	0	25.03	0.33	21.71	0.48
218.06579529	5	1	1	20.42	0.5	22.25	0.27
233.068125156	5	1	1	15.23	0.55	32.44	0.31
244.071780522	5	2	1	18.63	0.42	13.09	0.54
259.077501136	5	2	1	4.9	0.57	19.16	0.4
274.081302578	5	1	1	28.36	0.22	2.29	0.55
285.086639704	5	1	1	18.39	0.57	29.12	0.41
296.09147033	5	2	1	25.03	0.33	21.71	0.48
309.096985896	5	1	1	6.61	0.47	14.3	0.26
324.101054899	5	1	1	31.78	0.38	8.19	0.41
337.106298085	5	2	1	22.17	0.44	16	0.54
348.110941457	5	1	1	25.57	0.41	26.69	0.39
361.114184671	5	2	1	3.88	0.39	31.94	0.24
376.116239426	5	1	1	9.85	0.48	24.14	0.23
389.120255618	5	2	1	23.87	0.25	11.94	0.5
402.124941787	5	1	1	10.56	0.59	16.04	0.24
