onset	duration	choice	agent	money_left	probability_left	money_right	probability_right
17.009351183	5	1	1	15.34	0.23	3.27	0.3
28.014829434	5	1	1	25.55	0.2	6.89	0.3
39.018992235	5	2	1	5.95	0.48	4.41	0.6
52.023646423	5	2	1	0.45	0.55	12.29	0.44
65.028316452	5	2	1	10.01	0.35	7.45	0.5
78.032539489	5	2	1	13.61	0.46	16.58	0.43
93.0397409	5	1	1	31.71	0.4	33.04	0.29
106.04407523	5	1	1	16.89	0.2	3.82	0.36
119.049220679	5	1	1	31.36	0.22	4.44	0.59
130.053718042	5	2	1	2.43	0.58	7.93	0.22
145.058943983	5	2	1	6.48	0.53	20.19	0.49
160.064356915	5	2	1	7.87	0.2	3.61	0.44
175.067263623	5	1	1	19.61	0.42	20.89	0.38
186.071408724	5	2	1	0.39	0.47	2.48	0.29
201.075316866	5	2	1	3.28	0.46	8.41	0.23
218.079821606	5	1	0	12.52	0.29	4.12	0.55
229.084034448	5	2	0	32.67	0.55	30.84	0.6
244.086192532	5	1	0	4.39	0.5	7.39	0.28
259.091329032	5	1	0	12.16	0.55	13.53	0.52
270.096923809	5	2	0	6.02	0.23	4.37	0.34
285.10187022	5	1	0	37.42	0.48	1.9	0.54
298.107278712	5	1	0	17.04	0.59	35.88	0.26
309.112180417	5	2	0	25.64	0.39	23.26	0.44
322.115205156	5	2	0	1.32	0.29	20.76	0.25
337.118781018	5	1	0	32.37	0.47	20.42	0.59
350.12250502	5	1	0	34.6	0.3	9.08	0.38
373.135549677	5	2	0	18.28	0.32	31.13	0.27
384.139367947	5	1	0	32.53	0.21	13.76	0.38
395.143574196	5	1	0	30.93	0.52	38.23	0.4
410.146706788	5	1	0	28.78	0.47	30.47	0.31
