onset	duration	choice	agent	money_left	probability_left	money_right	probability_right
17.008044079	5	2	0	9.35	0.29	4.88	0.6
30.01060427	5	2	0	22.85	0.54	39.78	0.48
43.013151616	5	1	0	34.8	0.39	25.04	0.43
54.017709702	5	1	0	32.95	0.49	28.97	0.53
67.019476453	5	2	0	6.49	0.59	34.26	0.34
82.024495804	5	1	0	18.38	0.48	19.13	0.36
97.030319323	5	2	0	3.28	0.56	24.58	0.26
122.040260543	5	2	0	20.14	0.55	36.43	0.35
137.044951006	5	2	0	19.29	0.36	38.69	0.27
148.049898387	5	2	0	4.6	0.55	33.75	0.41
159.054722798	5	2	0	19.47	0.46	28.44	0.32
172.058114915	5	1	0	38.93	0.23	31.11	0.26
187.06264834	5	2	0	13.53	0.28	19.4	0.23
198.067278999	5	2	0	26.99	0.52	31.44	0.47
211.070016776	5	1	0	33.84	0.31	15.48	0.54
228.0796729	5	1	1	9.44	0.29	4.68	0.44
243.085875624	5	1	1	11.42	0.5	24.42	0.28
254.090265827	5	2	1	13.53	0.28	19.4	0.23
265.09362994	5	2	1	0.06	0.59	7.14	0.24
278.098156968	5	2	1	4.74	0.52	10.42	0.24
291.10275322	5	1	1	20.39	0.24	11.11	0.41
304.107135764	5	1	1	24.14	0.31	27.2	0.28
317.112732033	5	2	1	9.03	0.22	6	0.44
332.118737451	5	2	1	22.49	0.47	21.81	0.55
347.124569708	5	1	1	32.19	0.5	11.96	0.51
362.127705728	5	2	1	4.72	0.51	36.3	0.34
377.133006262	5	2	1	6.67	0.58	22.24	0.43
388.136804423	5	2	1	7.2	0.47	6.22	0.56
399.143249123	5	2	1	4.53	0.38	23.66	0.33
412.148445329	5	2	1	7.51	0.58	15.78	0.44
