onset	duration	choice	agent	money_left	probability_left	money_right	probability_right
17.007022916	5	2	1	9.63	0.39	8.44	0.53
30.007854965	5	2	1	2.65	0.24	2.6	0.31
41.01204733	5	2	1	1.53	0.58	30.05	0.4
56.017429173	5	1	1	38.08	0.44	36.31	0.45
69.023095754	5	2	1	3.03	0.6	29.64	0.58
82.025637266	5	1	1	35.61	0.23	23.04	0.35
97.028614319	5	1	1	12.59	0.33	13.06	0.24
112.033875312	5	2	1	7.87	0.2	3.61	0.44
123.036171811	5	1	1	15.34	0.23	3.27	0.3
138.039278931	5	2	1	20.12	0.22	17.14	0.37
149.043079028	5	1	1	30.78	0.23	14.88	0.37
162.046930458	5	1	1	28.48	0.35	0.74	0.56
173.05111407	5	1	1	36.69	0.29	23.12	0.31
184.053316671	5	2	1	30.03	0.44	36.35	0.4
197.059104999	5	2	1	16.29	0.27	37.27	0.21
218.065312822	5	2	0	20.45	0.21	18.94	0.44
233.071210573	5	1	0	5.17	0.33	2.73	0.57
244.074800974	5	1	0	32.76	0.43	28.83	0.53
259.079086803	5	2	0	2.12	0.41	6.41	0.4
274.083035878	5	2	0	38.63	0.42	33.96	0.55
285.085750842	5	1	0	10.96	0.5	2.8	0.58
298.089625245	5	2	0	17.58	0.55	29.04	0.28
313.093996308	5	1	0	7.87	0.2	3.61	0.44
326.100924153	5	2	0	13.61	0.46	16.58	0.43
337.105213631	5	2	0	3.03	0.6	29.64	0.58
348.111195689	5	1	0	29.45	0.42	12.34	0.52
361.116303134	5	2	0	9.52	0.57	28.68	0.32
374.12108125	5	1	0	24.46	0.26	1	0.36
387.125033581	5	2	0	2.72	0.34	4.93	0.21
398.129989489	5	1	0	36.69	0.29	23.12	0.31
