onset	duration	choice	agent	money_left	probability_left	money_right	probability_right
17.006865548	5	1	0	25.47	0.43	4.03	0.57
32.009182058	5	2	0	7.85	0.55	22.09	0.42
45.011643064	5	2	0	33.28	0.22	20.53	0.45
56.01568006	5	1	0	8.02	0.21	1.12	0.55
69.020467374	5	2	0	5.95	0.48	4.41	0.6
82.021940752	5	2	0	0.45	0.55	12.29	0.44
93.026445199	5	1	0	25.38	0.28	25.45	0.26
104.030425809	5	1	0	2.66	0.5	1.26	0.51
117.035401613	5	1	0	27.32	0.42	33.85	0.29
132.038915071	5	2	0	36.16	0.46	33.9	0.6
143.041667978	5	2	0	17.45	0.47	16.19	0.5
154.045305723	5	2	0	17.49	0.4	30.96	0.24
169.050006796	5	1	0	28.78	0.47	30.47	0.31
182.053082712	5	1	0	36.66	0.43	23.72	0.57
197.056132134	5	1	0	30.42	0.36	3.78	0.38
218.066888117	5	1	1	34.6	0.3	9.08	0.38
229.075029866	5	2	1	8.41	0.52	10.81	0.3
240.081652053	5	1	1	13.84	0.37	15.37	0.2
255.084437512	5	2	1	13.65	0.38	19.65	0.32
270.087227623	5	1	1	36.56	0.45	27.05	0.57
281.09137978	5	2	1	32.35	0.56	35.18	0.53
294.096401097	5	2	1	7.85	0.55	22.09	0.42
307.101686557	5	2	1	10.21	0.49	19.91	0.22
320.106224156	5	2	1	22.06	0.57	34.05	0.42
335.109701494	5	2	1	29.18	0.3	39.35	0.25
348.116453345	5	1	1	39.2	0.3	35.41	0.33
359.121325796	5	2	1	17.49	0.4	30.96	0.24
374.126199406	5	2	1	22.22	0.41	29.48	0.39
389.130579978	5	1	1	35.04	0.25	21.17	0.32
400.135891125	5	2	1	17.58	0.55	29.04	0.28
