onset	duration	choice	agent	money_left	probability_left	money_right	probability_right
17.006229899	5	1	1	25.38	0.28	25.45	0.26
28.010309262	5	2	1	32.24	0.33	21.56	0.46
43.014414149	5	1	1	20.85	0.37	0.44	0.47
56.017481399	5	2	1	24.6	0.31	21.71	0.38
67.023780906	5	1	1	37.42	0.48	1.9	0.54
78.027258524	5	2	1	22.1	0.42	31.94	0.38
91.029232086	5	1	1	19.02	0.34	17.41	0.36
106.032747899	5	1	1	15.85	0.52	18.71	0.31
117.037654958	5	2	1	16.16	0.2	13.61	0.46
130.040730068	5	1	1	13.61	0.46	16.58	0.43
145.044600801	5	1	1	36.68	0.25	19.94	0.49
156.049482077	5	2	1	0.45	0.55	12.29	0.44
171.053071321	5	1	1	10.96	0.5	2.8	0.58
186.057477941	5	2	1	36.64	0.22	32.77	0.26
199.061651493	5	1	1	18.84	0.44	0.14	0.49
218.067921276	5	2	0	24.96	0.22	17.98	0.44
231.070873699	5	2	0	29.29	0.34	36.85	0.27
244.075971397	5	2	0	36.81	0.23	15.01	0.6
255.082210493	5	1	0	13.21	0.57	16.86	0.34
266.086783098	5	1	0	30.78	0.23	14.88	0.37
281.092234963	5	2	0	30.03	0.44	36.35	0.4
294.095411292	5	1	0	12.52	0.29	4.12	0.55
307.099934227	5	1	0	37.74	0.43	39.65	0.36
328.107314695	5	1	0	18.84	0.44	0.14	0.49
339.112184649	5	2	0	22.1	0.42	31.94	0.38
350.115852066	5	2	0	19.02	0.34	17.41	0.36
365.121283325	5	2	0	18.71	0.54	30.24	0.53
380.122999559	5	2	0	20.12	0.22	17.14	0.37
393.127893609	5	2	0	11.29	0.47	38.71	0.22
408.133593017	5	2	0	2.65	0.24	2.6	0.31
