onset	duration	choice	agent	money_left	probability_left	money_right	probability_right
17.006910466	5	2	0	12.78	0.23	10.45	0.52
32.009944227	5	2	0	25.86	0.32	36.04	0.26
45.015521246	5	1	0	12.47	0.48	13.3	0.42
60.018739483	5	1	0	29.12	0.5	35.8	0.42
71.024308541	5	2	0	12.36	0.49	35.15	0.2
86.030268603	5	1	0	26.15	0.53	33.6	0.47
97.035859759	5	1	0	5.27	0.36	5.29	0.21
112.040648136	5	1	0	38.98	0.36	4.45	0.56
127.043523163	5	1	0	25.53	0.35	3.07	0.55
140.049756174	5	2	0	18.32	0.48	33.17	0.28
153.052415667	5	2	0	15.11	0.35	22.6	0.34
166.056988941	5	2	0	30.89	0.35	30.39	0.45
177.058790252	5	1	0	38.46	0.45	1.61	0.57
188.063818551	5	1	0	8.47	0.22	4.61	0.32
201.068857843	5	1	0	29.81	0.55	34.83	0.44
218.073203125	5	1	1	36.6	0.21	10.86	0.54
229.077527354	5	1	1	35.62	0.4	7.49	0.47
240.083876445	5	2	1	14.16	0.34	8.36	0.54
255.086434573	5	1	1	13.3	0.6	13.9	0.35
268.091250183	5	2	1	32.71	0.2	13.59	0.43
279.093719072	5	1	1	14.12	0.56	6.42	0.58
290.10058636	5	2	1	26.15	0.53	33.6	0.47
305.103400097	5	1	1	33.57	0.36	19.11	0.56
320.106432413	5	2	1	2.68	0.38	7.8	0.31
333.10979054	5	1	1	15.9	0.27	4.77	0.59
348.114148882	5	1	1	37.52	0.25	25.21	0.36
361.118506227	5	1	1	29.81	0.55	34.83	0.44
376.123714193	5	2	1	30.73	0.3	28.08	0.47
387.126701501	5	1	1	8.39	0.33	2.21	0.36
400.128545155	5	1	1	13.65	0.49	14.16	0.46
